dTXYEAR,dROLLNMBR,dASSESSMENTBASE,dASSESSCD,dASSESSTYPE,dASSESSVALLAND,dASSESSVALIMPR,dASSESSVALOTHER,dASSESSCHANGECD,dASSESSVALEXMPTLAND,dASSESSVALEXMPTIMPR,dASSESSVALEXMPTOTH
2021,1800,4,12,0,76500,71600,0,AA,34430,32220,0
2021,1800,4,30,0,267600,170000,0,AA,69580,44200,0
2021,1950,4,30,0,287900,0,0,AA,74850,0,0
2021,2000,2,40,0,15000,47800,0,AA,9750,31070,0
2021,2000,4,12,0,45000,1186400,0,AA,20250,533880,0
2021,2000,4,30,0,823600,2125000,0,AA,214140,552500,0
2021,2100,4,11,0,76500,257300,0,AA,34430,115790,0
2021,2100,4,30,0,142400,19200,0,AA,37020,4990,0
2021,2125,4,30,0,24800,0,0,AA,6450,0,0
2021,2300,4,30,0,2914500,0,0,AA,757770,0,0
2021,2400,4,30,0,354700,19800,0,AA,92220,5150,0
2021,2400,4,60,0,7800,4300,0,AA,5070,2800,0
2021,2420,2,32,0,49200,66300,0,AA,12790,17240,0
2021,2420,4,11,0,59900,211500,0,AA,26960,95180,0
2021,2420,4,31,0,16400,66300,0,AA,4260,17240,0
2021,2600,4,30,0,234100,0,0,AA,60870,0,0
2021,2700,4,30,0,316800,0,0,AA,82370,0,0
2021,2710,4,11,0,86200,152500,0,AA,38790,68630,0
2021,2720,4,11,0,86200,189100,0,AA,38790,85100,0
2021,2730,4,11,0,86200,219700,0,AA,38790,98870,0
2021,2740,4,11,0,71600,194500,0,AA,32220,87530,0
2021,2740,4,60,0,14600,38700,0,AA,9490,25160,0
2021,2750,4,11,0,86200,222300,0,AA,38790,100040,0
2021,2760,4,11,0,86200,231200,0,AA,38790,104040,0
2021,2760,4,11,1,0,56600,0,SUP,0,25470,0
2021,2770,4,11,0,89600,174200,0,AA,40320,78390,0
2021,2775,4,11,0,84100,227000,0,AA,37850,102150,0
2021,2780,4,11,0,84100,134400,0,AA,37850,60480,0
2021,2785,4,11,0,84100,361000,0,AA,37850,162450,0
2021,2790,4,11,0,84100,268200,0,AA,37850,120690,0
2021,2790,4,11,1,0,69300,0,SUP,0,31190,0
2021,2795,2,32,0,202400,0,0,AA,52620,0,0
2021,2795,4,31,0,154600,0,0,AA,40200,0,0
2021,2800,4,30,0,231400,0,0,AA,60160,0,0
2021,2900,4,30,0,235500,0,0,AA,61230,0,0
2021,3000,4,30,0,378400,0,0,AA,98380,0,0
2021,3100,4,30,0,378500,0,0,AA,98410,0,0
2021,3200,4,12,0,59900,322100,0,AA,26960,144950,0
2021,3200,4,30,0,309000,285800,0,AA,80340,74310,0
2021,3200,4,30,1,0,232900,0,SUP,0,60550,0
2021,3210,4,11,0,92000,217400,0,AA,41400,97830,0
2021,3300,4,12,0,99000,182800,0,AA,44550,82260,0
2021,3325,4,30,0,220600,0,0,AA,57360,0,0
2021,3400,4,30,0,234800,0,0,AA,61050,0,0
2021,3500,4,30,0,652200,0,0,AA,169570,0,0
2021,3600,4,11,0,108100,170000,0,AA,48650,76500,0
2021,3700,4,30,0,36800,0,0,AA,9570,0,0
2021,3800,4,11,0,65900,299200,0,AA,29660,134640,0
2021,3800,4,60,0,48100,21600,0,AA,31270,14040,0
2021,3810,4,30,0,654900,0,0,AA,170270,0,0
2021,3820,4,11,0,150700,149400,0,AA,67820,67230,0
2021,3820,4,11,1,0,22900,0,SUP,0,10310,0
2021,3830,4,11,0,114000,257800,0,AA,51300,116010,0
2021,3830,4,11,1,0,20200,0,SUP,0,9090,0
2021,3900,4,30,0,222900,0,0,AA,57950,0,0
2021,4000,4,11,0,59900,64500,0,AA,26960,29030,0
2021,4000,4,30,0,61500,28300,0,AA,15990,7360,0
2021,4000,4,11,1,0,76800,0,SUP,0,34560,0
2021,4000,4,30,1,0,14300,0,SUP,0,3720,0
2021,4050,4,30,0,448500,0,0,AA,116610,0,0
2021,4100,2,32,0,126200,0,0,AA,32810,0,0
2021,4100,4,31,0,50000,0,0,AA,13000,0,0
2021,4210,4,30,0,343300,0,0,AA,89260,0,0
2021,4215,4,30,0,379800,0,0,AA,98750,0,0
2021,4300,4,30,0,700800,0,0,AA,182210,0,0
2021,4350,2,32,0,125900,0,0,AA,32730,0,0
2021,4350,4,31,0,49400,0,0,AA,12840,0,0
2021,4400,4,11,0,115800,139300,0,AA,52110,62690,0
2021,4500,4,11,0,92200,133900,0,AA,41490,60260,0
2021,4600,4,11,0,79900,91400,0,AA,35960,41130,0
2021,4700,4,30,0,965700,0,0,AA,251080,0,0
2021,4800,4,11,0,59900,221600,0,AA,26960,99720,0
2021,4800,4,30,0,67200,90800,0,AA,17470,23610,0
2021,4900,4,30,0,381100,0,0,AA,99090,0,0
2021,5000,4,12,0,66000,213800,0,AA,29700,96210,0
2021,5000,4,30,0,72900,155500,0,AA,18950,40430,0
2021,5100,4,30,0,233500,0,0,AA,60710,0,0
2021,5100,4,30,1,-47800,0,0,SUP,-12430,0,0
2021,5200,4,30,0,568800,0,0,AA,147890,0,0
2021,5300,4,30,0,473800,0,0,AA,123190,0,0
2021,5305,4,11,0,64800,139900,0,AA,29160,62960,0
2021,5310,4,11,0,64800,194700,0,AA,29160,87620,0
2021,5320,4,11,0,64800,128900,0,AA,29160,58010,0
2021,5360,4,11,0,64900,181600,0,AA,29210,81720,0
2021,5380,4,11,0,65300,193000,0,AA,29390,86850,0
2021,5400,1,11,0,64800,105200,0,AA,29160,47340,0
2021,5500,4,11,0,57000,199900,0,AA,25650,89960,0
2021,5500,4,60,0,8500,15000,0,AA,5530,9750,0
2021,5600,4,30,0,235500,0,0,AA,61230,0,0
2021,5700,4,30,0,375700,0,0,AA,97680,0,0
2021,5800,4,11,0,117700,253300,0,AA,52970,113990,0
2021,5900,4,12,0,59900,134300,0,AA,26960,60440,0
2021,5900,4,30,0,283000,45800,0,AA,73580,11910,0
2021,5910,4,11,0,78200,237100,0,AA,35190,106700,0
2021,5910,4,60,0,8500,22800,0,AA,5530,14820,0
2021,6000,2,32,0,191600,29400,0,AA,49820,7640,0
2021,6000,4,31,0,63600,29400,0,AA,16540,7640,0
2021,6000,4,31,1,0,-23800,0,SUP,0,-6180,0
2021,6025,4,11,0,59900,115800,0,AA,26960,52110,0
2021,6025,4,30,0,17200,0,0,AA,4470,0,0
2021,6025,4,60,0,48100,19100,0,AA,31270,12420,0
2021,6050,4,30,0,517400,0,0,AA,134520,0,0
2021,6100,4,11,0,96400,133300,0,AA,43380,59990,0
2021,6120,4,11,0,79900,382300,0,AA,35960,172040,0
2021,6130,4,11,0,64800,217200,0,AA,29160,97740,0
2021,6140,4,11,0,64800,204800,0,AA,29160,92160,0
2021,6150,4,11,0,64800,209400,0,AA,29160,94230,0
2021,6160,4,11,0,64800,221400,0,AA,29160,99630,0
2021,6200,4,11,0,67900,120000,0,AA,30560,54000,0
2021,6200,4,60,0,54000,176300,0,AA,35100,114600,0
2021,6250,4,30,0,626400,0,0,AA,162860,0,0
2021,6300,4,11,0,58600,163300,0,AA,26370,73490,0
2021,6400,4,11,0,58600,112200,0,AA,26370,50490,0
2021,6400,4,11,1,0,67000,0,SUP,0,30150,0
2021,6500,4,11,0,64800,178100,0,AA,29160,80150,0
2021,6600,4,11,0,64800,113500,0,AA,29160,51080,0
2021,6700,4,11,0,35500,96600,0,AA,15980,43470,0
2021,6700,4,60,0,29300,53600,0,AA,19050,34840,0
2021,6800,4,11,0,40000,118400,0,AA,18000,53280,0
2021,6800,4,60,0,39900,96400,0,AA,25940,62660,0
2021,6900,4,11,0,64800,173500,0,AA,29160,78080,0
2021,7000,4,11,0,64800,140400,0,AA,29160,63180,0
2021,7100,4,11,0,64800,227000,0,AA,29160,102150,0
2021,7200,4,11,0,64800,184100,0,AA,29160,82850,0
2021,7300,4,11,0,64800,209100,0,AA,29160,94100,0
2021,7400,4,11,0,57700,203700,0,AA,25970,91670,0
2021,7450,4,60,0,108300,1007600,0,AA,70400,654940,0
2021,7500,4,30,0,744000,0,0,AA,193440,0,0
2021,7600,4,30,0,549300,0,0,AA,142820,0,0
2021,7700,4,30,0,632800,0,0,AA,164530,0,0
2021,7705,4,11,0,59900,264500,0,AA,26960,119030,0
2021,7705,4,30,0,63900,3100,0,AA,16610,810,0
2021,7710,4,11,0,89800,226400,0,AA,40410,101880,0
2021,7720,4,11,0,89800,291700,0,AA,40410,131270,0
2021,7805,4,11,0,99400,200600,0,AA,44730,90270,0
2021,7810,4,11,0,64800,173000,0,AA,29160,77850,0
2021,7815,4,11,0,88400,0,0,AA,39780,0,0
2021,7820,4,11,0,80500,198200,0,AA,36230,89190,0
2021,7820,4,11,1,0,40000,0,SUP,0,18000,0
2021,7825,4,11,0,91500,87500,0,AA,41180,39380,0
2021,7830,4,11,0,79900,165000,0,AA,35960,74250,0
2021,7835,4,11,0,92000,450800,0,AA,41400,202860,0
2021,7840,4,11,0,82700,158800,0,AA,37220,71460,0
2021,7845,4,11,0,84100,408400,0,AA,37850,183780,0
2021,7848,4,11,0,85900,403400,0,AA,38660,181530,0
2021,7850,4,11,0,73800,219500,0,AA,33210,98780,0
2021,7850,4,60,0,18100,113400,0,AA,11770,73710,0
2021,7855,4,11,0,85000,312900,0,AA,38250,140810,0
2021,7857,4,11,0,97400,374400,0,AA,43830,168480,0
2021,7860,4,11,0,85900,221600,0,AA,38660,99720,0
2021,7862,4,11,0,80100,418900,0,AA,36050,188510,0
2021,7870,4,11,0,125200,238900,0,AA,56340,107510,0
2021,7880,4,11,0,89200,189100,0,AA,40140,85100,0
2021,7885,4,11,0,83700,203700,0,AA,37670,91670,0
2021,7940,4,11,0,86400,170300,0,AA,38880,76640,0
2021,7950,4,11,0,86400,350300,0,AA,38880,157640,0
2021,7960,4,11,0,86400,224100,0,AA,38880,100850,0
2021,7970,4,11,0,86400,501100,0,AA,38880,225500,0
2021,7980,4,11,0,86400,151500,0,AA,38880,68180,0
2021,7990,4,11,0,86400,286500,0,AA,38880,128930,0
2021,8010,4,11,0,79700,248900,0,AA,35870,112010,0
2021,8020,4,11,0,92000,192500,0,AA,41400,86630,0
2021,8030,4,11,0,73100,162900,0,AA,32900,73310,0
2021,8040,4,11,0,73300,118700,0,AA,32990,53420,0
2021,8050,4,11,0,79900,127000,0,AA,35960,57150,0
2021,8060,4,30,0,328400,0,0,AA,85380,0,0
2021,8070,4,12,0,59900,353400,0,AA,26960,159030,0
2021,8070,4,30,0,267400,330900,0,AA,69520,86030,0
2021,8100,4,30,0,342100,0,0,AA,88950,0,0
2021,8110,4,11,0,108000,121400,0,AA,48600,54630,0
2021,8115,4,30,0,19400,0,0,AA,5040,0,0
2021,8200,4,30,0,291200,0,0,AA,75710,0,0
2021,8210,4,30,0,37200,0,0,AA,9670,0,0
2021,8300,4,30,0,666100,0,0,AA,173190,0,0
2021,8350,1,60,0,6100,0,0,AA,3970,0,0
2021,8400,4,11,0,60000,231600,0,AA,27000,104220,0
2021,8400,4,30,0,216000,87500,0,AA,56160,22750,0
2021,8401,4,30,0,400,0,0,AA,100,0,0
2021,8405,4,11,0,79900,49400,0,AA,35960,22230,0
2021,8410,4,11,0,79900,334900,0,AA,35960,150710,0
2021,8420,4,30,0,395600,0,0,AA,102860,0,0
2021,8610,4,30,0,317200,0,0,AA,82470,0,0
2021,8620,4,11,0,113000,147900,0,AA,50850,66560,0
2021,8630,4,11,0,59900,92100,0,AA,26960,41450,0
2021,8630,4,30,0,73600,15300,0,AA,19140,3980,0
2021,8630,4,11,1,0,33000,0,SUP,0,14850,0
2021,8630,4,30,1,0,39900,0,SUP,0,10370,0
2021,8640,4,11,0,86200,120300,0,AA,38790,54140,0
2021,8650,4,11,0,86200,227500,0,AA,38790,102380,0
2021,8660,4,30,0,357200,0,0,AA,92870,0,0
2021,8700,4,11,0,89900,155700,0,AA,40460,70070,0
2021,8720,4,30,0,368000,51600,0,AA,95680,13420,0
2021,8800,4,30,0,364000,0,0,AA,94640,0,0
2021,8900,4,12,0,59900,297200,0,AA,26960,133740,0
2021,8900,4,30,0,305100,109400,0,AA,79330,28440,0
2021,9000,4,12,0,59900,105300,0,AA,26960,47390,0
2021,9000,4,30,0,302600,102600,0,AA,78680,26680,0
2021,9100,4,30,0,728000,0,0,AA,189280,0,0
2021,9200,4,30,0,357300,0,0,AA,92900,0,0
2021,9300,4,30,0,332700,0,0,AA,86500,0,0
2021,9400,4,30,0,439100,0,0,AA,114170,0,0
2021,9500,4,30,0,231400,0,0,AA,60160,0,0
2021,9600,4,11,0,69000,145500,0,AA,31050,65480,0
2021,9600,4,60,0,37400,48800,0,AA,24310,31720,0
2021,9625,4,30,0,702700,0,0,AA,182700,0,0
2021,9700,4,11,0,110000,222400,0,AA,49500,100080,0
2021,9750,4,30,0,648300,0,0,AA,168560,0,0
2021,9770,4,30,0,21900,0,0,AA,5690,0,0
2021,9800,4,30,0,622100,0,0,AA,161750,0,0
2021,9810,4,11,0,65300,207600,0,AA,29390,93420,0
2021,9820,4,11,0,73500,181400,0,AA,33080,81630,0
2021,9830,4,11,0,64800,186000,0,AA,29160,83700,0
2021,9840,4,11,0,64800,176300,0,AA,29160,79340,0
2021,9850,4,11,0,64800,223700,0,AA,29160,100670,0
2021,9860,4,11,0,64800,289400,0,AA,29160,130230,0
2021,9870,4,11,0,64800,232600,0,AA,29160,104670,0
2021,9880,4,11,0,64800,180200,0,AA,29160,81090,0
2021,9890,2,30,0,5700,0,0,AA,1480,0,0
2021,9900,4,11,0,87800,227600,0,AA,39510,102420,0
2021,9900,4,11,1,0,213700,0,SUP,0,96170,0
2021,10000,4,30,0,376000,0,0,AA,97760,0,0
2021,10100,4,30,0,366700,0,0,AA,95340,0,0
2021,10300,4,30,0,752700,0,0,AA,195700,0,0
2021,10400,4,30,0,754000,0,0,AA,196040,0,0
2021,10500,2,40,0,6800,0,0,AA,4420,0,0
2021,10600,4,30,0,380000,0,0,AA,98800,0,0
2021,10700,4,30,0,378600,0,0,AA,98440,0,0
2021,10800,4,30,0,612000,0,0,AA,159120,0,0
2021,10900,4,12,0,59900,161900,0,AA,26960,72860,0
2021,10900,4,30,0,53500,30000,0,AA,13910,7800,0
2021,10950,4,30,0,713800,0,0,AA,185590,0,0
2021,11000,4,30,0,744000,0,0,AA,193440,0,0
2021,11100,4,30,0,506600,0,0,AA,131720,0,0
2021,11105,2,30,0,132800,0,0,AA,34530,0,0
2021,11120,4,11,0,82600,403500,0,AA,37170,181580,0
2021,11125,4,11,0,73600,245500,0,AA,33120,110480,0
2021,11125,4,60,0,18500,51200,0,AA,12030,33280,0
2021,11130,4,11,0,86500,190100,0,AA,38930,85550,0
2021,11135,4,11,0,86700,221600,0,AA,39020,99720,0
2021,11135,4,11,1,0,25600,0,SUP,0,11520,0
2021,11140,4,11,0,93800,207600,0,AA,42210,93420,0
2021,11145,4,11,0,93800,370700,0,AA,42210,166820,0
2021,11150,4,11,0,86400,224200,0,AA,38880,100890,0
2021,11150,4,11,1,0,35700,0,SUP,0,16070,0
2021,11155,4,11,0,86400,166000,0,AA,38880,74700,0
2021,11160,4,11,0,79900,155300,0,AA,35960,69890,0
2021,11165,4,11,0,92100,182900,0,AA,41450,82310,0
2021,11170,4,11,0,86500,132500,0,AA,38930,59630,0
2021,11180,4,11,0,86500,147900,0,AA,38930,66560,0
2021,11185,4,11,0,86500,226900,0,AA,38930,102110,0
2021,11190,4,11,0,86500,170800,0,AA,38930,76860,0
2021,11200,4,30,0,240700,0,0,AA,62580,0,0
2021,11300,4,30,0,370400,0,0,AA,96300,0,0
2021,11400,4,30,0,320800,0,0,AA,83410,0,0
2021,11500,4,30,0,326300,0,0,AA,84840,0,0
2021,11600,4,11,0,98800,141500,0,AA,44460,63680,0
2021,11625,4,30,0,358600,0,0,AA,93240,0,0
2021,11800,4,11,0,121900,189000,0,AA,54860,85050,0
2021,11825,4,11,0,114400,0,0,AA,51480,0,0
2021,11835,4,11,0,57900,23500,0,AA,26060,10580,0
2021,11900,4,11,0,136800,166400,0,AA,61560,74880,0
2021,11915,4,11,0,116100,217600,0,AA,52250,97920,0
2021,11920,4,11,0,99100,94900,0,AA,44600,42710,0
2021,12100,4,11,0,125200,111600,0,AA,56340,50220,0
2021,12145,4,11,0,132700,226600,0,AA,59720,101970,0
2021,12150,4,30,0,149800,149100,0,AA,38950,38770,0
2021,12155,4,30,0,173700,0,0,AA,45160,0,0
2021,12220,4,11,0,115900,259300,0,AA,52160,116690,0
2021,12240,4,11,0,102000,128000,0,AA,45900,57600,0
2021,12240,4,60,0,25600,33800,0,AA,16640,21970,0
2021,12245,4,11,0,131500,0,0,AA,59180,0,0
2021,12250,4,11,0,137700,210500,0,AA,61970,94730,0
2021,12270,4,30,0,587100,0,0,AA,152650,0,0
2021,12290,4,11,0,119800,176200,0,AA,53910,79290,0
2021,12300,4,12,0,76500,346500,0,AA,34430,155930,0
2021,12300,4,30,0,308500,17600,0,AA,80210,4580,0
2021,12300,4,30,1,0,92300,0,SUP,0,23990,0
2021,12310,4,11,0,126300,209200,0,AA,56840,94140,0
2021,12320,4,11,0,122800,192300,0,AA,55260,86540,0
2021,12400,4,11,0,137800,182400,0,AA,62010,82080,0
2021,12500,4,30,0,544400,0,0,AA,141540,0,0
2021,12600,4,30,0,236500,0,0,AA,61490,0,0
2021,12700,4,11,0,145800,249500,0,AA,65610,112280,0
2021,12725,4,30,0,369100,0,0,AA,95970,0,0
2021,12800,4,30,0,181500,0,0,AA,47190,0,0
2021,12900,4,30,0,342000,0,0,AA,88920,0,0
2021,13000,4,30,0,294500,0,0,AA,76570,0,0
2021,13100,4,30,0,18900,0,0,AA,4910,0,0
2021,13200,4,30,0,290100,0,0,AA,75430,0,0
2021,13300,4,30,0,373000,0,0,AA,96980,0,0
2021,13400,4,30,0,230100,0,0,AA,59830,0,0
2021,13450,4,30,0,469800,0,0,AA,122150,0,0
2021,13500,4,11,0,128100,135400,0,AA,57650,60930,0
2021,13520,4,11,0,128100,163300,0,AA,57650,73490,0
2021,13525,4,12,0,61900,194100,0,AA,27860,87350,0
2021,13525,4,30,0,374000,4500,0,AA,97240,1170,0
2021,13525,4,60,0,14600,26400,0,AA,9490,17160,0
2021,13530,4,11,0,119500,248300,0,AA,53780,111740,0
2021,13550,4,11,0,76500,197600,0,AA,34430,88920,0
2021,13550,4,30,0,155800,0,0,AA,40510,0,0
2021,13600,4,11,0,112400,110400,0,AA,50580,49680,0
2021,13610,4,11,0,119200,109300,0,AA,53640,49190,0
2021,13700,4,11,0,100,0,0,AA,50,0,0
2021,13700,4,12,0,137600,307400,0,AA,61920,138330,0
2021,13700,4,30,0,0,53000,0,AA,0,13780,0
2021,13710,4,11,0,96900,135700,0,AA,43610,61070,0
2021,13715,4,11,0,98700,263100,0,AA,44420,118400,0
2021,13715,4,11,1,0,-22900,0,SUP,0,-10310,0
2021,13720,4,11,0,98700,243100,0,AA,44420,109400,0
2021,13725,4,11,0,98700,225700,0,AA,44420,101570,0
2021,13750,4,11,0,110300,487500,0,AA,49640,219380,0
2021,13800,4,11,0,96900,166500,0,AA,43610,74930,0
2021,13900,4,11,0,115000,203500,0,AA,51750,91580,0
2021,13910,4,11,0,120100,188400,0,AA,54050,84780,0
2021,13950,4,30,0,406200,0,0,AA,105610,0,0
2021,13955,4,11,0,126100,0,0,AA,56750,0,0
2021,13960,4,11,0,125900,0,0,AA,56660,0,0
2021,13965,4,11,0,129800,0,0,AA,58410,0,0
2021,13970,4,11,0,121600,359800,0,AA,54720,161910,0
2021,13975,4,11,0,121600,0,0,AA,54720,0,0
2021,13980,4,11,0,121600,0,0,AA,54720,0,0
2021,13980,4,11,1,0,292900,0,SUP,0,131810,0
2021,14000,4,11,0,96900,165200,0,AA,43610,74340,0
2021,14010,4,11,0,96900,143300,0,AA,43610,64490,0
2021,14100,4,30,0,524100,0,0,AA,136270,0,0
2021,14200,4,30,0,502200,0,0,AA,130570,0,0
2021,14210,4,11,0,76500,142700,0,AA,34430,64220,0
2021,14210,4,30,0,160000,146500,0,AA,41600,38090,0
2021,14300,4,30,0,327600,0,0,AA,85180,0,0
2021,14310,4,30,0,320800,0,0,AA,83410,0,0
2021,14320,4,11,0,138400,130900,0,AA,62280,58910,0
2021,14400,4,30,0,433800,0,0,AA,112790,0,0
2021,14500,4,30,0,216000,0,0,AA,56160,0,0
2021,14510,4,30,0,220600,0,0,AA,57360,0,0
2021,14520,4,11,0,106100,289100,0,AA,47750,130100,0
2021,14600,4,30,0,317200,0,0,AA,82470,0,0
2021,14700,4,30,0,691200,0,0,AA,179710,0,0
2021,14800,4,30,0,342000,0,0,AA,88920,0,0
2021,14900,4,30,0,327600,0,0,AA,85180,0,0
2021,15000,4,30,0,691200,0,0,AA,179710,0,0
2021,15100,4,30,0,334800,0,0,AA,87050,0,0
2021,15200,4,60,0,94100,707500,0,AA,61170,459880,0
2021,15300,4,11,0,72100,0,0,AA,32450,0,0
2021,15400,4,30,0,358300,0,0,AA,93160,0,0
2021,15800,4,30,0,234100,0,0,AA,60870,0,0
2021,15900,4,11,0,60100,44200,0,AA,27050,19890,0
2021,15900,4,30,0,179100,190400,0,AA,46570,49500,0
2021,16000,2,32,0,326700,0,0,AA,84940,0,0
2021,16000,4,31,0,366800,0,0,AA,95370,0,0
2021,16050,4,11,0,60100,63200,0,AA,27050,28440,0
2021,16050,4,30,0,178100,27500,0,AA,46310,7150,0
2021,16100,4,12,0,60100,159700,0,AA,27050,71870,0
2021,16100,4,30,0,706500,97600,0,AA,183690,25380,0
2021,16150,4,30,0,368000,0,0,AA,95680,0,0
2021,16300,4,30,0,411600,0,0,AA,107020,0,0
2021,16400,4,11,0,60100,224400,0,AA,27050,100980,0
2021,16400,4,30,0,183500,342800,0,AA,47710,89130,0
2021,16500,4,11,0,60100,132800,0,AA,27050,59760,0
2021,16500,4,30,0,174000,77200,0,AA,45240,20070,0
2021,16600,4,12,0,60100,138200,0,AA,27050,62190,0
2021,16600,4,30,0,499300,540200,0,AA,129820,140450,0
2021,16700,4,30,0,363400,0,0,AA,94480,0,0
2021,16800,4,11,0,65500,176100,0,AA,29480,79250,0
2021,16805,4,11,0,73700,153900,0,AA,33170,69260,0
2021,16900,4,30,0,366900,0,0,AA,95390,0,0
2021,17000,4,30,0,547000,0,0,AA,142220,0,0
2021,17000,4,30,1,127400,0,0,SUP,33120,0,0
2021,17100,4,11,0,60100,76700,0,AA,27050,34520,0
2021,17100,4,30,0,172700,42000,0,AA,44900,10920,0
2021,17100,4,11,1,-4200,0,0,SUP,-1890,0,0
2021,17100,4,30,1,-126900,0,0,SUP,-32990,0,0
2021,17200,4,12,0,60100,138500,0,AA,27050,62330,0
2021,17200,4,30,0,663400,111400,0,AA,172480,28960,0
2021,17400,4,11,0,60100,249300,0,AA,27050,112190,0
2021,17400,4,30,0,324000,259700,0,AA,84240,67520,0
2021,17500,4,11,0,60100,541500,0,AA,27050,243680,0
2021,17500,4,30,0,91900,58700,0,AA,23890,15260,0
2021,17600,2,32,0,238200,0,0,AA,61930,0,0
2021,17600,4,31,0,200000,0,0,AA,52000,0,0
2021,17715,4,11,0,82700,363500,0,AA,37220,163580,0
2021,17720,4,11,0,79900,249500,0,AA,35960,112280,0
2021,17740,4,11,0,93400,245300,0,AA,42030,110390,0
2021,17800,4,11,0,56500,44200,0,AA,25430,19890,0
2021,17800,4,11,1,-44200,0,0,SUP,-19890,0,0
2021,17900,4,11,0,84500,77900,0,AA,38030,35060,0
2021,18000,4,11,0,53000,3600,0,AA,23850,1620,0
2021,18050,4,11,0,85200,145000,0,AA,38340,65250,0
2021,18120,4,11,0,64800,177100,0,AA,29160,79700,0
2021,18125,2,32,0,185900,0,0,AA,48330,0,0
2021,18125,4,31,0,135500,0,0,AA,35230,0,0
2021,18150,4,30,0,376800,34300,0,AA,97970,8920,0
2021,18200,4,30,0,583600,0,0,AA,151740,0,0
2021,18300,4,11,0,89100,112900,0,AA,40100,50810,0
2021,18320,4,30,0,452500,0,0,AA,117650,0,0
2021,18400,4,30,0,751200,0,0,AA,195310,0,0
2021,18500,4,30,0,332100,0,0,AA,86350,0,0
2021,18510,4,11,0,81600,124200,0,AA,36720,55890,0
2021,18520,4,11,0,79900,400700,0,AA,35960,180320,0
2021,18530,4,11,0,79900,261800,0,AA,35960,117810,0
2021,18540,4,11,0,79900,0,0,AA,35960,0,0
2021,18550,4,11,0,68100,451800,0,AA,30650,203310,0
2021,18550,4,60,0,11800,46900,0,AA,7670,30490,0
2021,18600,4,11,0,88600,233200,0,AA,39870,104940,0
2021,18700,2,32,0,83600,4400,0,AA,21740,1140,0
2021,18700,4,11,0,60100,64800,0,AA,27050,29160,0
