Application. ID,Age,Gender,Location,Parents Edu.,Siblings,RAM-1 Score,RAM-2 Score,HS Score,School Rank,SOP,Admission Status
Ref#41519,23 yrs,Female,Eastern,M+F,No,87,100,73%,High,4.5,Yes
Ref#42325,18 yrs,Female,Central,M+F,Yes,28,22,35%,High,1.5,Yes
Ref#43847,20 yrs,Female,Western,F,Yes,33,26,94%,Avg,4.0,Yes
Ref#44530,21 yrs,Male,Eastern,M,Yes,22,17,61%,Avg,3.5,Yes
Ref#45470,20 yrs,Male,Western,M,No,11,8,69%,Low,3.0,No
Ref#46576,17 yrs,Male,Central,M,No,30,24,70%,Avg,4.0,Yes
Ref#47883,19 yrs,Male,Central,F,Yes,93,100,59%,Low,4.5,Yes
Ref#48157,22 yrs,Female,Eastern,M+F,No,95,100,97%,Avg,5.0,Yes
Ref#49550,21 yrs,Female,Eastern,M,No,39,31,90%,Low,1.5,No
Ref#50639,15 yrs,Male,Eastern,F,No,31,24,16%,Low,2.5,No
Ref#51273,21 yrs,Male,Central,M,Yes,82,98,61%,High,1.5,Yes
Ref#52690,21 yrs,Male,Central,M+F,Yes,19,15,99%,Avg,2.5,Yes
Ref#53657,15 yrs,Female,Western,F,Yes,79,94,91%,Low,4.0,Yes
Ref#54813,18 yrs,Female,Eastern,M,Yes,60,72,43%,Low,1.0,No
Ref#55131,22 yrs,Female,Central,M+F,Yes,28,22,65%,Avg,5.0,Yes
Ref#56496,18 yrs,Female,Western,M,Yes,63,75,41%,Low,1.5,No
Ref#57507,19 yrs,Female,Central,F,No,77,92,29%,Avg,4.0,Yes
Ref#58653,22 yrs,Female,Eastern,M+F,No,76,91,46%,High,2.5,Yes
Ref#59891,18 yrs,Male,Central,M,Yes,36,28,99%,Low,3.5,Yes
Ref#60721,15 yrs,Male,Central,F,No,30,24,100%,Avg,3.5,Yes
Ref#61748,16 yrs,Female,Western,M+F,No,77,92,76%,Avg,2.0,Yes
Ref#62560,23 yrs,Female,Western,M+F,No,87,100,35%,High,4.5,Yes
Ref#63106,20 yrs,Male,Central,M+F,No,83,99,30%,Avg,3.5,Yes
Ref#64429,23 yrs,Female,Central,M,Yes,23,18,75%,High,4.0,Yes
Ref#65818,17 yrs,Female,Central,F,Yes,88,100,70%,Low,3.0,Yes
Ref#66501,22 yrs,Male,Eastern,F,No,45,36,83%,Low,3.5,Yes
Ref#67212,22 yrs,Male,Central,M,No,27,21,100%,High,4.5,Yes
Ref#68559,17 yrs,Female,Western,M+F,No,87,100,53%,Avg,1.5,Yes
Ref#69110,16 yrs,Female,Western,F,Yes,46,36,78%,High,2.5,Yes
Ref#70715,18 yrs,Male,Eastern,F,Yes,75,90,67%,Low,3.0,No
Ref#71575,22 yrs,Male,Eastern,M,Yes,95,100,87%,Low,2.0,Yes
Ref#72409,21 yrs,Female,Central,M,No,39,31,44%,High,3.0,No
Ref#73697,18 yrs,Female,Western,M+F,No,54,64,18%,Avg,1.5,No
Ref#74912,18 yrs,Female,Western,M+F,No,90,100,98%,High,1.5,Yes
Ref#75963,20 yrs,Male,Central,F,Yes,94,100,58%,Low,2.0,Yes
Ref#76799,18 yrs,Female,Central,M,No,37,29,72%,Avg,3.5,Yes
Ref#77780,19 yrs,Female,Central,F,No,30,24,41%,High,2.5,No
Ref#78207,23 yrs,Female,Western,F,Yes,41,32,52%,High,1.5,No
Ref#79390,20 yrs,Female,Eastern,M,No,41,32,10%,Avg,2.0,No
Ref#80141,20 yrs,Male,Central,M,No,37,29,72%,Avg,2.5,No
Ref#81709,19 yrs,Male,Central,F,No,83,99,59%,Avg,4.0,Yes
Ref#82965,15 yrs,Male,Central,F,No,93,100,56%,High,1.5,Yes
Ref#83972,22 yrs,Female,Eastern,M,Yes,57,68,93%,Low,2.0,No
Ref#84247,20 yrs,Female,Central,M+F,Yes,67,80,43%,Avg,4.5,Yes
Ref#85829,17 yrs,Female,Western,M,Yes,14,11,55%,High,1.5,No
Ref#86856,23 yrs,Female,Central,M+F,Yes,66,79,59%,High,4.0,Yes
Ref#87913,15 yrs,Male,Central,M,No,35,28,84%,Low,3.0,No
Ref#88274,17 yrs,Male,Western,F,Yes,86,100,37%,Low,2.5,Yes
Ref#89651,17 yrs,Female,Eastern,M+F,No,87,100,48%,Low,2.0,Yes
Ref#90713,17 yrs,Male,Western,M,No,77,92,26%,High,3.0,Yes
Ref#91192,15 yrs,Female,Western,F,No,70,84,58%,Low,4.5,Yes
Ref#92365,17 yrs,Female,Western,F,Yes,47,37,11%,Avg,2.5,No
Ref#93922,19 yrs,Male,Central,M+F,No,25,20,35%,Avg,2.5,No
Ref#94350,17 yrs,Female,Eastern,F,Yes,51,61,11%,Avg,1.0,No
Ref#95299,16 yrs,Female,Western,M+F,Yes,23,18,68%,High,3.0,Yes
Ref#96460,20 yrs,Male,Eastern,M,Yes,51,61,80%,Low,4.5,Yes
Ref#97457,20 yrs,Female,Western,M,Yes,67,80,88%,High,2.0,Yes
Ref#98713,21 yrs,Female,Western,F,Yes,71,85,71%,High,4.0,Yes
Ref#99669,19 yrs,Female,Eastern,M,No,91,100,36%,Avg,5.0,Yes
Ref#10013,21 yrs,Male,Western,M+F,Yes,82,98,80%,Low,4.0,Yes
Ref#10136,18 yrs,Female,Eastern,M+F,Yes,48,38,87%,High,1.0,Yes
Ref#10216,19 yrs,Female,Western,M,No,15,12,81%,Avg,2.5,No
Ref#10397,21 yrs,Male,Eastern,M,No,84,100,70%,Avg,3.5,Yes
Ref#10453,23 yrs,Female,Western,F,No,41,32,47%,High,5.0,Yes
Ref#10513,20 yrs,Female,Western,M+F,No,70,84,20%,Low,2.0,No
Ref#10685,22 yrs,Female,Western,M,No,28,22,32%,High,1.5,No
Ref#10735,21 yrs,Female,Western,F,No,24,19,50%,High,2.5,No
Ref#10819,23 yrs,Male,Eastern,F,No,35,28,68%,High,3.5,Yes
Ref#10970,22 yrs,Female,Western,M+F,Yes,82,98,40%,Low,2.5,Yes
Ref#11011,22 yrs,Male,Eastern,M,Yes,33,26,33%,Avg,3.0,No
Ref#11177,21 yrs,Male,Western,M,No,48,38,42%,Avg,3.5,Yes
Ref#11215,22 yrs,Female,Eastern,M,Yes,60,72,23%,Avg,1.5,No
Ref#11395,20 yrs,Female,Western,M+F,Yes,51,61,68%,High,4.5,Yes
Ref#11490,21 yrs,Male,Eastern,F,No,75,90,93%,High,3.0,Yes
Ref#11519,15 yrs,Male,Eastern,F,No,44,35,87%,Avg,1.0,No
Ref#11657,22 yrs,Male,Central,M+F,Yes,28,22,99%,Low,3.5,Yes
Ref#11747,18 yrs,Male,Eastern,M+F,Yes,59,70,56%,High,4.5,Yes
Ref#11824,22 yrs,Male,Central,M+F,No,35,28,60%,Low,4.0,Yes
Ref#11995,19 yrs,Female,Central,M,No,14,11,82%,Avg,2.0,No
Ref#12044,21 yrs,Female,Eastern,M+F,Yes,39,31,66%,Low,3.0,Yes
Ref#12118,16 yrs,Female,Central,M+F,Yes,56,67,86%,High,2.5,Yes
Ref#12212,22 yrs,Male,Eastern,M,No,85,100,37%,Avg,3.5,Yes
Ref#12313,19 yrs,Female,Eastern,M+F,Yes,65,78,13%,High,3.0,Yes
Ref#12478,20 yrs,Female,Central,F,No,44,35,64%,Avg,4.0,Yes
Ref#12542,19 yrs,Male,Eastern,M+F,No,64,76,74%,Avg,4.5,Yes
Ref#12624,22 yrs,Female,Western,M+F,Yes,53,63,18%,Low,1.0,Yes
Ref#12719,19 yrs,Male,Eastern,F,Yes,20,16,69%,High,3.5,Yes
Ref#12852,15 yrs,Male,Central,M,No,20,16,76%,High,3.5,Yes
Ref#12951,23 yrs,Male,Western,M,Yes,92,100,81%,Avg,1.5,Yes
Ref#13056,22 yrs,Female,Eastern,M+F,Yes,77,92,67%,High,4.5,Yes
Ref#13194,18 yrs,Female,Central,F,No,26,20,85%,Avg,3.0,No
Ref#13245,17 yrs,Male,Central,M,No,38,30,19%,High,4.0,Yes
Ref#13320,16 yrs,Male,Central,M+F,No,36,28,43%,Low,3.5,Yes
Ref#13414,21 yrs,Male,Western,M+F,No,95,100,63%,Avg,3.5,Yes
Ref#13510,20 yrs,Female,Central,F,No,60,72,97%,Low,3.0,No
Ref#13681,23 yrs,Male,Western,M+F,Yes,88,100,33%,Avg,1.0,Yes
Ref#13792,19 yrs,Female,Eastern,M,Yes,72,86,95%,High,3.5,Yes
Ref#13832,20 yrs,Female,Eastern,M,Yes,46,36,38%,High,1.5,No
Ref#13926,16 yrs,Male,Central,M,Yes,91,100,60%,Avg,1.5,Yes
Ref#14085,20 yrs,Female,Eastern,M+F,No,60,72,18%,Low,2.0,No
Ref#14157,22 yrs,Male,Western,M,No,53,63,10%,Avg,2.0,No
Ref#14244,16 yrs,Female,Eastern,M+F,Yes,42,33,96%,Low,4.5,Yes
Ref#14318,19 yrs,Male,Central,F,Yes,29,23,86%,Low,4.0,Yes
Ref#14465,15 yrs,Male,Western,M,Yes,23,18,35%,High,4.0,Yes
Ref#14517,18 yrs,Male,Central,M+F,No,19,15,38%,Avg,4.0,Yes
Ref#14617,19 yrs,Male,Western,M+F,Yes,100,100,29%,Avg,2.5,Yes
Ref#14729,20 yrs,Male,Eastern,M+F,Yes,22,17,84%,High,3.5,Yes
Ref#14831,18 yrs,Male,Eastern,M,No,78,93,14%,Low,3.0,Yes
Ref#14988,19 yrs,Female,Central,M,Yes,13,10,96%,Avg,2.0,No
Ref#15060,16 yrs,Female,Central,F,Yes,61,73,56%,High,1.0,No
Ref#15118,19 yrs,Female,Western,F,No,43,34,94%,High,3.0,Yes
Ref#15285,19 yrs,Male,Western,M+F,No,83,99,14%,Low,4.0,Yes
Ref#15388,15 yrs,Female,Western,M+F,No,77,92,95%,Avg,4.0,Yes
Ref#15467,22 yrs,Female,Central,M+F,Yes,76,91,36%,Avg,4.0,Yes
Ref#15525,15 yrs,Male,Eastern,F,No,87,100,47%,Low,2.0,Yes
Ref#15668,15 yrs,Female,Western,F,No,50,60,10%,Avg,1.0,No
Ref#15775,18 yrs,Male,Eastern,M+F,No,65,78,99%,Low,2.5,No
Ref#15892,22 yrs,Male,Western,M+F,Yes,91,100,53%,Avg,2.5,Yes
Ref#15976,20 yrs,Male,Western,F,No,71,85,67%,Avg,4.5,Yes
Ref#16058,22 yrs,Male,Western,F,No,96,100,44%,Avg,4.5,Yes
Ref#16168,15 yrs,Male,Central,F,Yes,31,24,20%,High,4.0,Yes
Ref#16216,21 yrs,Female,Eastern,M+F,No,66,79,35%,High,3.5,Yes
Ref#16319,22 yrs,Female,Eastern,M,No,15,12,82%,High,3.0,Yes
Ref#16410,16 yrs,Male,Western,F,Yes,16,12,86%,High,3.0,Yes
Ref#16572,20 yrs,Female,Central,M,Yes,40,32,68%,High,2.5,No
Ref#16626,22 yrs,Male,Eastern,F,No,34,27,34%,High,4.0,Yes
Ref#16789,18 yrs,Female,Western,M+F,No,85,100,42%,Low,2.5,Yes
Ref#16857,17 yrs,Male,Western,M+F,Yes,35,28,42%,Avg,3.5,Yes
Ref#16987,15 yrs,Female,Western,F,No,31,24,39%,High,3.0,No
Ref#17037,20 yrs,Male,Western,M,No,31,24,75%,Avg,2.0,No
Ref#17136,18 yrs,Male,Central,F,Yes,85,100,39%,Avg,3.5,Yes
Ref#17278,18 yrs,Male,Western,M,Yes,15,12,14%,High,4.0,Yes
Ref#17373,23 yrs,Male,Western,F,No,88,100,18%,Avg,4.0,Yes
Ref#17457,21 yrs,Male,Central,M+F,Yes,81,97,32%,Avg,3.0,Yes
Ref#17566,19 yrs,Female,Central,F,No,11,8,81%,Avg,4.5,Yes
Ref#17620,17 yrs,Female,Central,M,No,39,31,76%,High,1.5,Yes
Ref#17740,22 yrs,Female,Eastern,M+F,No,49,39,74%,High,1.0,No
Ref#17837,15 yrs,Female,Western,M+F,Yes,39,31,24%,Low,3.0,Yes
Ref#17934,18 yrs,Male,Eastern,M,No,80,96,80%,High,2.0,Yes
Ref#18020,20 yrs,Female,Western,F,No,92,100,62%,Avg,1.0,Yes
Ref#18178,17 yrs,Female,Western,M,Yes,70,84,20%,Avg,4.0,Yes
Ref#18254,20 yrs,Female,Eastern,F,Yes,19,15,100%,High,1.0,Yes
Ref#18315,20 yrs,Male,Eastern,M,No,65,78,86%,Avg,3.5,Yes
Ref#18442,21 yrs,Male,Western,M,Yes,93,100,27%,High,3.5,Yes
Ref#18585,16 yrs,Male,Eastern,M,No,72,86,71%,Avg,1.5,No
Ref#18680,20 yrs,Male,Central,M+F,No,80,96,42%,Low,2.5,Yes
Ref#18775,16 yrs,Male,Western,M,No,66,79,64%,Low,3.0,No
Ref#18823,16 yrs,Male,Eastern,M,No,69,82,29%,Low,1.5,No
Ref#18961,21 yrs,Female,Central,M+F,Yes,58,69,91%,High,4.5,Yes
Ref#19027,22 yrs,Female,Eastern,M+F,Yes,12,9,32%,High,2.0,Yes
Ref#19148,16 yrs,Male,Eastern,M,Yes,28,22,12%,Low,2.0,No
Ref#19242,15 yrs,Female,Western,M+F,Yes,58,69,84%,Avg,1.0,Yes
Ref#19346,21 yrs,Female,Central,F,No,28,22,13%,Low,2.0,No
Ref#19479,15 yrs,Female,Eastern,M,Yes,59,70,51%,Low,4.5,Yes
Ref#19593,18 yrs,Male,Western,M,Yes,20,16,67%,Avg,1.0,No
Ref#19610,18 yrs,Male,Eastern,F,No,29,23,97%,Low,1.5,No
Ref#19733,22 yrs,Female,Eastern,F,No,63,75,19%,High,4.5,Yes
Ref#19872,17 yrs,Female,Eastern,F,Yes,97,100,63%,High,4.5,Yes
Ref#19974,20 yrs,Female,Eastern,M,No,12,9,52%,Avg,4.0,Yes
Ref#20059,18 yrs,Female,Central,F,Yes,92,100,10%,High,4.0,Yes
Ref#20149,21 yrs,Male,Western,M,Yes,93,100,72%,Avg,4.5,Yes
Ref#20260,23 yrs,Female,Western,M+F,Yes,45,36,21%,Low,3.0,Yes
Ref#20392,22 yrs,Female,Eastern,F,No,60,72,62%,Avg,2.0,No
Ref#20419,16 yrs,Male,Western,M,Yes,21,16,100%,High,3.5,Yes
Ref#20550,19 yrs,Female,Central,F,No,25,20,90%,Low,5.0,Yes
Ref#20697,15 yrs,Female,Western,F,Yes,54,64,92%,Low,5.0,Yes
Ref#20787,20 yrs,Female,Western,F,Yes,20,16,73%,Low,4.5,Yes
Ref#20842,22 yrs,Male,Eastern,M,No,81,97,48%,High,2.0,Yes
Ref#20992,21 yrs,Male,Central,F,Yes,68,81,71%,High,2.0,No
Ref#21091,15 yrs,Male,Central,M+F,Yes,11,8,80%,Low,2.0,Yes
Ref#21165,19 yrs,Male,Eastern,M+F,Yes,80,96,82%,Low,4.5,Yes
Ref#21226,23 yrs,Female,Eastern,M,Yes,94,100,42%,High,1.0,Yes
Ref#21343,20 yrs,Male,Western,F,No,26,20,25%,Avg,5.0,Yes
Ref#21441,15 yrs,Male,Western,M+F,No,55,66,57%,Low,4.0,Yes
Ref#21540,20 yrs,Male,Western,M+F,Yes,38,30,59%,Avg,1.0,Yes
Ref#21682,18 yrs,Female,Central,M+F,No,31,24,88%,Low,4.0,Yes
Ref#21775,20 yrs,Female,Central,M,Yes,35,28,92%,High,1.5,Yes
Ref#21824,19 yrs,Male,Western,M,Yes,96,100,32%,High,3.0,Yes
Ref#21942,17 yrs,Male,Western,F,Yes,24,19,95%,High,4.0,Yes
Ref#22097,18 yrs,Male,Central,M+F,Yes,27,21,65%,High,2.0,Yes
Ref#22195,23 yrs,Female,Eastern,F,No,82,98,50%,Low,1.0,Yes
Ref#22294,23 yrs,Female,Central,F,No,83,99,57%,Low,2.0,Yes
Ref#22384,18 yrs,Male,Central,M+F,Yes,55,66,67%,Low,4.0,Yes
Ref#22428,16 yrs,Female,Eastern,M+F,Yes,95,100,38%,Avg,4.5,Yes
Ref#22520,22 yrs,Male,Central,M+F,No,35,28,81%,High,1.0,Yes
Ref#22654,19 yrs,Female,Western,M,Yes,55,66,46%,Low,4.0,Yes
Ref#22767,17 yrs,Female,Eastern,M+F,Yes,38,30,76%,Avg,1.5,Yes
Ref#22830,18 yrs,Male,Central,F,Yes,28,22,26%,High,4.5,Yes
Ref#22925,21 yrs,Female,Western,F,Yes,99,100,28%,Low,4.0,Yes
Ref#23050,18 yrs,Male,Eastern,F,Yes,57,68,80%,High,4.5,Yes
Ref#23132,19 yrs,Male,Western,M+F,No,76,91,87%,Low,3.0,Yes
Ref#23241,23 yrs,Female,Eastern,M,No,78,93,74%,Avg,3.0,Yes
Ref#23362,15 yrs,Male,Western,F,Yes,77,92,94%,High,3.5,Yes
Ref#23478,21 yrs,Female,Western,F,Yes,17,13,95%,High,1.5,Yes
Ref#23537,18 yrs,Male,Eastern,F,Yes,77,92,62%,Low,5.0,Yes
Ref#23614,16 yrs,Female,Central,F,Yes,13,10,55%,Low,3.5,Yes
Ref#23748,20 yrs,Male,Western,M,Yes,38,30,63%,Avg,3.5,Yes
Ref#23867,16 yrs,Male,Central,M,Yes,57,68,63%,Avg,3.0,No
Ref#23931,20 yrs,Male,Central,M+F,No,93,100,64%,High,2.0,Yes
Ref#24030,20 yrs,Male,Western,M,No,63,75,79%,Avg,1.5,No
Ref#24187,23 yrs,Female,Western,F,No,92,100,63%,Avg,4.5,Yes
Ref#24251,16 yrs,Female,Eastern,M+F,No,63,75,32%,High,1.0,No
Ref#24383,21 yrs,Female,Western,M+F,No,72,86,40%,Avg,2.5,No
Ref#24442,21 yrs,Male,Central,M+F,No,29,23,94%,High,2.0,Yes
Ref#24519,19 yrs,Female,Central,F,No,11,8,37%,Avg,2.5,No
Ref#24679,22 yrs,Female,Eastern,M,Yes,43,34,61%,Low,2.0,No
Ref#24711,22 yrs,Male,Eastern,M+F,Yes,12,9,45%,Avg,3.5,Yes
Ref#24815,17 yrs,Female,Eastern,F,No,19,15,34%,Low,2.5,No
Ref#24980,23 yrs,Female,Eastern,M+F,No,28,22,91%,Avg,3.0,No
Ref#25042,17 yrs,Female,Eastern,M+F,No,87,100,21%,Low,4.5,Yes
Ref#25173,20 yrs,Female,Central,F,Yes,19,15,68%,Low,1.5,No
Ref#25235,20 yrs,Male,Central,F,No,77,92,49%,High,3.5,Yes
Ref#25329,18 yrs,Male,Central,F,Yes,26,20,71%,Low,3.5,Yes
Ref#25499,22 yrs,Male,Eastern,M+F,No,95,100,65%,Low,3.0,Yes
Ref#25550,22 yrs,Male,Eastern,M,No,24,19,52%,Low,4.0,Yes
Ref#25667,23 yrs,Male,Western,M+F,No,23,18,21%,High,3.5,Yes
Ref#25759,20 yrs,Female,Central,F,Yes,44,35,67%,Avg,1.5,No
Ref#25885,21 yrs,Female,Western,F,Yes,100,100,57%,Low,3.5,Yes
Ref#25985,16 yrs,Female,Western,M+F,Yes,65,78,88%,Avg,4.5,Yes
Ref#26047,23 yrs,Male,Western,M+F,No,36,28,42%,High,4.5,Yes
Ref#26193,19 yrs,Male,Central,M,Yes,94,100,87%,Low,4.0,Yes
Ref#26238,22 yrs,Male,Western,M,No,68,81,66%,High,1.0,No
Ref#26381,18 yrs,Male,Eastern,F,No,90,100,55%,Avg,2.5,Yes
Ref#26453,20 yrs,Female,Western,M,Yes,34,27,81%,High,2.0,Yes
Ref#26540,17 yrs,Female,Central,M,No,99,100,72%,Low,4.0,Yes
Ref#26662,18 yrs,Female,Western,M+F,No,65,78,57%,High,4.0,Yes
Ref#26776,17 yrs,Male,Eastern,M+F,Yes,42,33,95%,Low,2.5,Yes
Ref#26896,21 yrs,Female,Western,M,Yes,38,30,11%,Low,1.0,No
Ref#26983,22 yrs,Female,Western,M,No,14,11,52%,Low,5.0,Yes
Ref#27032,16 yrs,Female,Eastern,F,No,40,32,48%,Avg,1.5,No
Ref#27121,21 yrs,Male,Central,M,No,56,67,47%,High,3.0,No
Ref#27264,16 yrs,Male,Western,M,Yes,59,70,77%,Avg,2.5,No
Ref#27376,18 yrs,Female,Central,F,No,21,16,36%,High,3.5,Yes
Ref#27438,17 yrs,Male,Eastern,M,Yes,40,32,71%,High,3.0,No
Ref#27527,17 yrs,Male,Western,M,No,28,22,82%,Avg,1.5,No
Ref#27660,19 yrs,Female,Eastern,M,No,60,72,22%,Avg,4.0,Yes
Ref#27727,22 yrs,Female,Central,M,No,63,75,61%,Avg,3.0,No
Ref#27841,22 yrs,Female,Central,M+F,No,29,23,42%,High,2.5,No
Ref#27967,19 yrs,Male,Eastern,M+F,No,91,100,51%,Low,2.0,Yes
Ref#28076,20 yrs,Female,Western,M+F,No,28,22,31%,Avg,4.0,Yes
Ref#28124,18 yrs,Male,Central,M,No,72,86,55%,High,3.0,No
Ref#28278,18 yrs,Male,Central,M+F,No,50,60,27%,High,1.5,No
Ref#28377,23 yrs,Male,Western,M,No,65,78,53%,Low,2.5,No
Ref#28412,19 yrs,Female,Western,F,No,69,82,49%,High,4.5,Yes
Ref#28562,17 yrs,Female,Eastern,F,Yes,42,33,19%,Low,4.5,Yes
Ref#28686,19 yrs,Female,Eastern,M,Yes,22,17,81%,Avg,4.5,Yes
Ref#28753,19 yrs,Male,Western,F,No,31,24,84%,Avg,1.5,No
Ref#28824,23 yrs,Female,Central,M,Yes,66,79,29%,Low,3.5,Yes
Ref#28916,16 yrs,Female,Western,F,No,34,27,30%,High,2.0,No
Ref#29046,23 yrs,Male,Central,F,No,65,78,61%,High,2.5,No
Ref#29111,23 yrs,Male,Western,M+F,No,26,20,56%,High,1.5,No
Ref#29287,15 yrs,Female,Eastern,F,Yes,86,100,14%,High,1.5,Yes
Ref#29355,17 yrs,Male,Eastern,M+F,Yes,27,21,60%,Low,3.5,Yes
Ref#29458,23 yrs,Male,Eastern,M+F,Yes,57,68,38%,Low,4.5,Yes
Ref#29563,16 yrs,Male,Eastern,M+F,No,80,96,26%,Avg,4.0,Yes
Ref#29670,20 yrs,Female,Western,M+F,Yes,92,100,58%,Avg,3.5,Yes
Ref#29719,17 yrs,Male,Western,M,Yes,55,66,22%,High,2.5,No
Ref#29868,20 yrs,Female,Western,F,No,11,8,30%,High,2.0,No
Ref#29946,20 yrs,Male,Western,M+F,No,75,90,12%,High,4.0,Yes
Ref#30036,21 yrs,Female,Central,F,Yes,46,36,72%,Avg,1.0,No
Ref#30159,15 yrs,Female,Eastern,F,No,66,79,74%,Low,1.5,No
Ref#30282,15 yrs,Female,Central,F,No,85,100,59%,Low,1.5,Yes
Ref#30348,20 yrs,Female,Eastern,M,Yes,87,100,52%,Avg,3.5,Yes
Ref#30435,22 yrs,Female,Western,F,Yes,10,8,12%,Low,2.0,No
Ref#30570,19 yrs,Male,Western,M,Yes,53,63,68%,Avg,1.0,No
Ref#30610,18 yrs,Female,Western,M,Yes,28,22,91%,High,1.0,Yes
Ref#30736,16 yrs,Male,Eastern,F,Yes,63,75,62%,Avg,2.5,No
Ref#30868,19 yrs,Male,Eastern,F,Yes,64,76,63%,Avg,1.5,No
Ref#30998,15 yrs,Female,Central,M,Yes,71,85,43%,Avg,1.5,No
Ref#31087,17 yrs,Female,Western,M+F,Yes,80,96,50%,High,1.5,Yes
Ref#31126,22 yrs,Male,Central,F,No,38,30,97%,High,4.5,Yes
Ref#31263,22 yrs,Female,Eastern,M+F,Yes,52,62,32%,Avg,3.5,Yes
Ref#31379,18 yrs,Female,Western,M+F,No,20,16,48%,High,2.5,No
Ref#31483,16 yrs,Female,Eastern,M,Yes,57,68,52%,Low,2.5,No
Ref#31529,23 yrs,Female,Eastern,M+F,No,47,37,90%,High,4.5,Yes
Ref#31681,22 yrs,Female,Central,F,No,77,92,38%,Low,2.0,Yes
Ref#31728,20 yrs,Female,Central,F,Yes,75,90,38%,Avg,3.5,Yes
Ref#31830,23 yrs,Male,Eastern,F,No,97,100,91%,High,3.5,Yes
Ref#31995,21 yrs,Female,Eastern,M,No,13,10,69%,Avg,3.5,Yes
Ref#32012,23 yrs,Male,Western,M+F,Yes,35,28,42%,Low,1.5,Yes
Ref#32115,16 yrs,Male,Central,F,Yes,32,25,38%,High,2.0,No
Ref#32290,18 yrs,Female,Western,M+F,Yes,22,17,46%,Avg,2.5,Yes
Ref#32377,18 yrs,Male,Eastern,M,No,84,100,90%,High,3.5,Yes
Ref#32498,18 yrs,Female,Eastern,M+F,Yes,72,86,31%,Low,3.5,Yes
