Gender,Location,Quiz-1,Quiz-2,Quiz-3,Quiz-4,Major-1,Major-2,Major-3,Final
Female,Dhahran,12,13,21,13,69,64,78,59
Male,Dhahran,7,18,19,15,40,45,44,43
Male,Dammam,8,6,13,3,27,27,30,26
Female,Jeddah,7,14,24,10,44,53,40,46
Male,Makkah,10,15,25,9,39,45,49,41
Female,Madinah,9,8,10,9,22,23,28,26
Female,Dhahran,12,5,21,16,55,48,56,55
Male,Makkah,9,24,12,7,48,35,36,39
Male,Jeddah,15,13,19,10,62,50,64,53
Female,Madinah,18,6,10,14,59,63,77,63
Male,Jeddah,15,24,23,12,75,67,69,67
Male,Dhahran,17,12,16,13,75,67,81,68
Female,Dhahran,22,13,5,18,99,96,81,94
Male,Jeddah,14,7,22,12,69,64,70,64
Male,Qassim,7,19,9,11,56,51,55,49
Female,Qassim,8,5,25,7,53,50,50,43
Male,Dhahran,3,15,10,11,44,45,32,40
Male,Qassim,11,12,8,7,37,43,41,39
Female,Riyadh,11,10,11,15,46,42,36,46
Male,Dammam,25,10,18,25,97,85,91,95
Female,Qassim,20,8,8,16,71,86,85,79
Female,Makkah,22,13,8,19,85,77,89,83
Male,Dammam,16,25,11,20,94,78,80,85
Male,Qassim,19,19,5,16,100,84,89,84
Male,Dhahran,15,14,24,16,84,82,73,77
Male,Makkah,7,17,23,6,42,56,57,43
Male,Dammam,12,9,8,13,55,54,69,52
Female,Dammam,18,9,21,11,70,73,69,66
Female,Riyadh,1,11,5,11,36,25,22,26
Male,Dammam,2,21,10,0,18,31,14,19
Male,Riyadh,8,19,15,5,45,43,41,40
Female,Qassim,17,12,19,15,72,65,62,69
Female,Madinah,14,15,17,21,78,92,91,82
Female,Madinah,19,23,21,22,79,88,75,84
Female,Dammam,18,6,12,19,85,84,68,85
Male,Dhahran,13,23,13,20,80,82,91,80
Female,Dhahran,11,20,10,11,42,48,48,44
Male,Madinah,17,11,8,20,62,72,64,73
Male,Dammam,2,23,13,6,25,22,37,23
Male,Dhahran,21,21,21,20,91,88,95,85
Male,Makkah,9,8,22,14,47,44,48,46
Female,Riyadh,19,16,20,14,72,85,90,72
Female,Dammam,17,17,20,21,80,74,77,80
Female,Riyadh,11,12,22,13,34,43,31,44
Male,Qassim,13,11,13,11,43,47,58,48
Female,Makkah,20,8,14,20,92,80,92,85
Female,Riyadh,2,12,20,5,35,36,23,31
Male,Riyadh,12,10,22,10,65,48,61,54
Female,Riyadh,9,25,19,6,46,48,45,38
Male,Madinah,9,8,10,6,32,29,14,30
Female,Dammam,13,22,23,13,44,44,45,49
Male,Dhahran,17,15,6,18,71,84,80,78
Female,Madinah,24,5,8,23,90,93,83,91
Male,Madinah,6,9,6,8,42,56,40,44
Female,Qassim,4,17,19,8,18,22,12,24
Female,Jeddah,16,10,22,21,90,98,82,88
Male,Madinah,12,17,12,16,66,57,63,63
Male,Madinah,7,5,6,8,36,33,44,32
Male,Qassim,23,6,16,22,80,83,77,84
Female,Riyadh,18,23,23,10,56,63,55,60
Female,Dhahran,19,7,24,18,55,69,66,64
Male,Riyadh,16,23,15,13,85,71,84,71
Female,Madinah,16,17,21,16,44,51,50,50
Male,Riyadh,22,23,20,19,89,99,80,90
Female,Jeddah,4,10,20,12,34,41,40,36
Female,Madinah,14,16,19,8,36,38,43,40
Male,Madinah,16,6,13,13,68,78,70,69
Male,Dhahran,11,10,19,11,60,55,47,51
Female,Dhahran,19,23,20,11,70,71,60,64
Male,Dhahran,16,11,6,24,79,78,75,82
Female,Dammam,6,21,5,6,47,41,35,40
Male,Makkah,7,15,25,6,16,21,21,22
Male,Dhahran,6,7,9,11,59,51,46,51
Female,Madinah,21,7,8,24,92,81,84,88
Female,Dammam,17,7,8,24,89,76,84,84
Female,Dammam,15,14,24,13,61,72,57,61
Female,Riyadh,17,17,12,9,48,48,49,46
Female,Makkah,17,14,9,17,66,68,64,68
Male,Madinah,10,22,17,13,48,45,31,46
Male,Dhahran,8,10,5,8,46,42,34,39
Female,Jeddah,7,13,20,9,42,56,45,47
Male,Jeddah,3,11,23,4,27,35,37,26
Female,Riyadh,14,15,7,20,70,59,57,64
Female,Madinah,15,6,12,15,91,81,97,77
Female,Madinah,21,6,7,14,75,84,84,76
Male,Qassim,15,20,16,14,72,82,84,74
Male,Madinah,14,18,12,13,56,55,58,54
Male,Makkah,19,25,9,19,89,91,91,87
Male,Dammam,10,11,15,6,44,39,49,38
Female,Dhahran,19,7,22,15,65,67,67,66
Female,Qassim,14,7,17,10,45,34,45,40
Male,Qassim,11,16,23,11,54,42,40,45
Male,Dammam,13,8,20,15,67,53,63,58
Female,Dammam,21,24,20,22,86,73,91,80
Female,Qassim,2,13,14,0,31,21,17,19
Female,Jeddah,13,12,7,8,38,48,46,41
Male,Jeddah,4,15,9,6,39,34,38,33
Male,Jeddah,8,10,11,7,35,36,28,33
Female,Qassim,17,22,23,14,66,58,77,64
Male,Dhahran,17,20,13,13,73,72,65,71
Male,Riyadh,6,22,14,10,34,30,30,31
Male,Qassim,10,5,24,16,54,55,68,57
Female,Jeddah,17,6,19,21,89,87,86,89
Female,Dhahran,5,13,12,2,24,31,40,25
Female,Qassim,8,6,10,9,44,49,39,44
Female,Riyadh,9,16,25,0,13,16,20,13
Male,Dhahran,11,19,13,18,59,64,71,62
Female,Makkah,10,17,20,7,46,47,46,42
Male,Dhahran,5,24,19,4,27,19,17,18
Male,Qassim,15,12,22,19,68,78,81,74
Male,Madinah,8,20,13,12,59,49,52,50
Female,Dhahran,9,21,8,6,58,45,44,46
Female,Jeddah,18,19,20,21,74,83,81,79
Male,Qassim,9,23,19,4,22,30,17,24
Female,Riyadh,4,9,19,9,42,43,45,35
Male,Dhahran,9,6,11,8,29,22,31,24
Male,Dammam,8,8,5,15,62,51,61,56
Male,Dhahran,20,5,20,22,86,79,93,82
Female,Qassim,21,13,19,18,75,83,88,79
Male,Makkah,19,6,25,17,87,96,100,88
Male,Dhahran,6,21,5,1,30,21,34,20
Male,Jeddah,9,11,5,16,65,61,64,60
Male,Dhahran,17,19,6,20,74,72,66,75
Male,Makkah,5,10,17,4,35,21,33,20
Female,Dhahran,7,20,17,6,49,34,36,35
Male,Dhahran,14,10,15,15,79,76,68,75
Female,Dhahran,18,23,7,15,70,66,70,68
Female,Riyadh,10,18,16,10,32,27,32,31
Male,Riyadh,14,11,25,6,52,43,49,44
Female,Riyadh,19,21,12,14,71,72,86,69
Male,Jeddah,15,14,11,21,81,72,79,77
Male,Dhahran,20,13,8,11,62,64,76,63
Female,Makkah,10,19,22,6,24,27,29,27
Male,Qassim,18,8,5,13,56,56,69,58
Male,Qassim,14,20,23,18,59,70,73,63
Male,Dhahran,2,5,16,8,25,32,34,26
Male,Qassim,19,21,20,21,79,80,74,79
Female,Madinah,18,23,10,17,90,77,81,82
Male,Riyadh,19,23,9,15,70,60,65,64
Male,Dhahran,11,9,18,17,72,74,75,68
Female,Dammam,18,5,22,20,81,77,78,80
Male,Madinah,18,21,11,23,79,90,80,84
Female,Dhahran,18,12,7,16,59,61,67,61
Female,Qassim,5,18,12,11,43,28,31,33
Male,Dammam,10,6,6,19,68,75,64,70
Female,Madinah,10,19,10,9,56,70,59,56
Male,Madinah,12,16,21,7,37,34,29,37
Male,Riyadh,15,17,6,15,73,66,75,68
Female,Riyadh,14,13,10,20,66,71,71,70
Male,Makkah,19,21,20,21,77,76,76,77
Male,Makkah,23,13,15,18,100,97,97,91
Male,Jeddah,6,23,7,14,34,47,32,39
Male,Qassim,15,25,5,24,92,99,92,91
Female,Qassim,16,16,25,14,68,58,54,60
Male,Jeddah,17,19,11,16,67,73,84,72
Female,Riyadh,17,21,8,8,66,48,60,53
Male,Jeddah,0,21,20,6,27,21,19,18
Female,Dammam,12,22,25,11,58,60,59,57
Female,Jeddah,10,24,25,14,51,44,35,49
Male,Riyadh,13,20,7,17,86,77,83,79
Male,Makkah,13,22,15,20,67,78,81,74
Female,Makkah,22,11,21,15,85,88,83,84
Female,Madinah,15,16,22,14,56,63,56,58
Male,Dammam,7,15,21,9,42,58,42,43
Female,Dammam,5,16,14,2,30,25,30,21
Male,Riyadh,20,11,12,25,82,88,91,86
Male,Dammam,13,19,15,22,88,75,79,83
Male,Qassim,8,17,17,18,64,57,63,57
Male,Madinah,13,19,10,13,57,56,41,52
Female,Jeddah,20,7,13,18,76,78,83,77
Female,Makkah,3,19,19,3,24,34,34,26
Female,Dammam,3,20,10,7,32,31,33,27
Female,Madinah,12,11,14,14,59,42,46,52
Female,Dammam,19,16,5,19,74,76,76,76
Male,Dhahran,2,23,15,1,25,18,19,13
Female,Riyadh,9,23,16,5,35,39,40,30
Male,Dhahran,10,5,6,10,28,13,19,27
Male,Madinah,9,12,9,8,29,22,23,24
Female,Jeddah,9,19,7,18,48,65,63,61
Female,Riyadh,6,14,25,13,55,55,41,54
Female,Madinah,12,14,6,5,36,41,39,36
Female,Dammam,15,17,15,20,90,81,82,82
Female,Qassim,8,7,8,12,62,59,54,55
Male,Jeddah,6,18,8,13,31,26,31,34
Male,Dammam,10,18,17,7,40,41,43,37
Female,Dhahran,19,10,10,17,89,77,84,78
Female,Jeddah,16,13,9,8,63,54,51,54
Male,Riyadh,12,9,20,4,24,29,30,27
Female,Makkah,19,20,25,11,67,54,65,57
Female,Riyadh,13,16,15,15,79,77,82,73
Male,Qassim,18,9,22,10,67,73,56,62
Female,Madinah,19,6,10,16,86,93,88,84
Female,Madinah,13,7,23,15,75,71,85,69
Female,Qassim,19,14,6,13,69,53,69,59
Female,Qassim,21,17,5,14,83,71,71,72
Male,Jeddah,3,7,21,8,26,27,28,25
Female,Qassim,17,9,20,22,76,72,72,77
Female,Jeddah,3,16,19,8,12,29,28,19
Male,Dammam,15,6,22,11,62,64,73,60
Male,Riyadh,16,18,6,22,93,93,83,88
Female,Dammam,14,16,18,13,33,43,41,44
Male,Qassim,15,19,17,14,80,89,85,76
Male,Qassim,9,10,7,8,57,61,68,53
Female,Dammam,19,14,13,19,81,95,93,89
Female,Riyadh,18,10,23,19,62,54,57,63
Male,Dammam,9,21,25,9,51,44,43,46
Male,Dhahran,14,14,19,14,65,80,71,68
Male,Jeddah,21,6,18,14,82,80,71,77
Female,Dammam,11,17,14,9,53,52,68,50
Male,Qassim,18,23,7,12,83,77,80,76
Male,Dammam,8,25,6,7,50,52,52,42
Female,Madinah,11,8,14,6,35,32,30,34
Male,Qassim,15,17,15,14,64,65,82,60
Male,Riyadh,12,5,7,15,52,61,62,55
Female,Dammam,17,15,7,15,66,65,56,63
Female,Makkah,12,16,19,18,78,85,71,79
Female,Riyadh,20,15,10,17,72,75,72,72
Female,Makkah,16,20,13,16,81,79,81,77
Female,Jeddah,12,11,6,21,80,69,71,73
Male,Dammam,14,8,11,21,74,67,68,69
Female,Makkah,10,8,21,8,40,41,35,36
Male,Jeddah,13,25,6,13,76,70,79,65
Female,Makkah,19,21,5,21,86,88,100,89
Male,Dammam,25,15,23,24,84,82,82,87
Female,Madinah,8,5,13,1,14,14,16,11
Female,Qassim,7,14,8,8,37,34,31,30
Male,Dammam,9,8,19,11,30,21,35,27
Female,Riyadh,19,12,17,16,64,71,64,69
Male,Madinah,6,18,9,5,28,24,27,26
Female,Dammam,11,24,25,11,24,24,22,31
Male,Dhahran,18,13,11,20,94,81,98,84
Male,Makkah,12,23,12,8,35,52,36,40
Male,Riyadh,7,25,19,7,44,50,48,39
Male,Makkah,16,20,18,12,70,63,53,60
Male,Dhahran,19,19,24,17,73,73,84,72
Female,Dammam,12,6,20,8,62,55,53,51
Male,Madinah,12,14,5,9,58,50,46,48
Male,Madinah,9,18,8,10,35,46,40,38
Male,Makkah,4,5,15,11,34,44,34,40
Female,Madinah,14,5,14,19,73,71,71,71
Male,Madinah,8,25,10,12,36,28,35,32
Female,Qassim,23,9,22,23,81,99,92,93
Female,Riyadh,7,17,22,5,18,24,16,21
Male,Makkah,9,19,6,11,40,59,49,50
Male,Qassim,4,12,21,7,36,17,33,21
Male,Madinah,14,15,17,15,62,61,71,60
Female,Madinah,19,14,20,20,75,90,75,86
Male,Jeddah,9,8,5,14,52,51,54,48
Male,Dhahran,24,11,11,17,75,77,78,80
Male,Qassim,12,22,25,20,64,63,58,67
Female,Dhahran,11,14,7,10,53,47,36,45
Female,Dhahran,11,10,9,15,50,58,54,52
Male,Makkah,14,18,7,13,40,48,48,48
Male,Madinah,2,18,21,3,22,25,29,19
Male,Dhahran,18,19,12,16,89,84,87,81
Female,Dhahran,5,9,23,14,54,38,47,43
Male,Dhahran,21,14,19,20,82,95,97,89
Female,Jeddah,11,14,14,9,46,33,38,38
Female,Jeddah,3,23,12,7,31,17,29,19
Female,Makkah,17,18,16,9,72,62,61,58
Female,Dammam,1,18,14,4,33,25,17,21
Female,Riyadh,7,20,14,4,33,36,34,30
Male,Dhahran,10,21,16,14,58,63,49,58
Female,Makkah,8,14,24,16,49,46,50,48
Male,Dammam,23,7,19,16,76,81,83,75
Male,Qassim,16,8,12,14,85,81,77,78
Female,Qassim,7,17,25,3,25,40,32,29
Male,Makkah,2,24,10,7,28,31,17,25
Female,Qassim,8,14,10,8,62,51,61,50
Female,Dhahran,4,16,23,3,20,23,34,16
Female,Makkah,11,5,5,18,63,69,68,64
Female,Jeddah,18,13,10,16,53,48,48,57
Male,Makkah,10,20,25,8,18,18,24,21
Female,Madinah,5,14,7,15,49,36,40,42
Male,Dhahran,4,16,11,10,32,41,36,34
Female,Makkah,13,16,13,7,47,54,59,46
Female,Dhahran,16,9,15,23,95,85,95,88
Male,Riyadh,16,19,18,14,69,68,71,67
Male,Madinah,13,18,21,14,32,37,31,38
Female,Dammam,12,11,14,15,62,44,45,54
Female,Dammam,2,20,18,9,12,22,30,21
Male,Jeddah,8,13,14,11,46,46,50,43
Male,Qassim,9,23,16,9,21,31,41,31
Male,Jeddah,20,5,10,14,81,75,93,71
Male,Makkah,15,21,16,17,80,89,76,78
Female,Qassim,14,25,9,10,52,60,62,55
Female,Jeddah,12,18,25,10,63,58,49,55
Female,Dammam,14,18,11,11,44,49,47,46
Female,Dhahran,10,24,25,15,39,42,40,41
Female,Qassim,15,8,11,22,85,82,74,82
Male,Dhahran,13,8,11,13,45,45,45,48
Male,Madinah,15,21,10,12,72,80,82,71
Female,Dhahran,7,12,20,12,25,34,21,33
Male,Riyadh,7,17,9,10,45,36,32,37
Female,Dammam,10,19,19,19,60,52,66,55
Male,Jeddah,10,10,24,17,59,61,76,58
Male,Makkah,20,23,10,23,90,100,94,92
Male,Madinah,9,22,7,8,24,31,24,27
Female,Qassim,22,7,6,22,87,92,93,89
Female,Qassim,14,25,24,22,75,80,85,76
Female,Qassim,18,6,18,13,60,65,68,62
Male,Qassim,2,23,25,8,24,34,28,30
Male,Riyadh,14,8,18,9,51,41,45,42
Male,Dhahran,11,25,16,18,60,65,72,66
Female,Jeddah,12,21,11,12,64,75,58,63
Male,Riyadh,15,11,13,16,77,78,76,73
Male,Jeddah,18,21,18,13,73,90,73,79
Female,Makkah,4,23,14,0,28,20,24,19
Female,Dammam,16,10,18,23,88,98,89,89
Male,Makkah,15,23,16,21,92,88,86,87
Male,Dhahran,19,7,11,14,89,85,76,81
Male,Dhahran,22,21,21,17,86,68,68,73
Female,Riyadh,11,25,20,11,64,67,63,59
Female,Qassim,16,23,19,18,96,87,94,83
Male,Dhahran,21,13,21,23,83,78,90,83
Male,Jeddah,6,13,10,3,28,23,19,20
Female,Madinah,8,16,15,6,29,38,27,30
Male,Dammam,6,10,18,6,32,23,23,26
Male,Riyadh,14,12,18,19,55,63,73,62
Male,Dammam,13,23,19,8,58,58,55,54
Female,Dammam,21,23,18,22,89,95,93,92
Male,Dhahran,16,10,20,14,73,67,71,67
Male,Qassim,11,19,12,16,72,63,74,66
Male,Jeddah,15,20,24,15,51,52,56,52
Female,Dhahran,15,14,17,12,74,73,66,68
Male,Makkah,23,10,21,20,88,79,80,84
Male,Jeddah,6,22,22,6,40,42,33,36
Male,Makkah,10,21,16,15,46,50,50,52
Male,Jeddah,10,7,23,8,49,59,54,47
Female,Makkah,11,6,22,13,57,66,67,58
Male,Makkah,16,24,9,17,48,48,57,55
Male,Riyadh,14,20,25,11,39,43,40,41
Female,Jeddah,21,14,10,14,85,78,76,76
Female,Qassim,18,10,19,16,93,93,90,89
Female,Riyadh,9,15,19,8,18,30,19,25
Female,Qassim,22,5,5,13,83,66,84,74
Female,Qassim,15,13,5,16,78,74,78,73
Female,Dhahran,18,8,15,14,82,66,76,72
Male,Qassim,0,21,6,0,30,18,19,14
Female,Dammam,10,17,23,18,58,60,66,57
Female,Riyadh,1,12,22,11,19,29,31,26
Male,Jeddah,16,9,22,22,77,67,66,72
Male,Makkah,7,11,22,6,21,28,36,21
Male,Dhahran,17,25,11,15,59,59,58,62
Male,Madinah,11,12,10,12,57,65,68,58
Female,Makkah,8,16,5,6,36,28,28,27
Female,Riyadh,16,11,20,12,53,54,57,51
Female,Makkah,17,18,11,20,95,100,85,95
Female,Dhahran,21,23,20,25,81,87,89,89
Female,Jeddah,7,14,12,2,24,18,22,17
Female,Qassim,25,12,23,17,98,83,88,85
Male,Dammam,12,6,15,11,72,77,63,67
Male,Jeddah,15,12,13,20,59,57,73,61
Male,Dhahran,3,15,7,11,39,21,35,31
Male,Qassim,18,8,11,19,78,87,89,79
Female,Madinah,16,17,20,20,95,100,89,93
Female,Makkah,18,23,12,19,61,56,62,64
Male,Dhahran,19,11,7,18,81,68,70,73
Female,Qassim,8,5,19,12,43,37,46,39
Female,Madinah,11,25,10,11,53,58,54,50
Male,Makkah,19,7,12,20,74,68,63,75
Female,Qassim,17,20,8,19,68,65,59,67
Female,Makkah,10,14,9,12,34,45,41,40
Male,Madinah,8,13,23,6,57,53,56,44
Female,Qassim,11,10,21,11,62,59,62,55
Male,Qassim,13,5,17,14,43,42,30,45
Female,Dammam,6,22,17,3,41,34,38,27
Female,Dammam,9,6,14,14,54,59,59,54
Male,Jeddah,13,23,19,14,40,39,47,41
Male,Makkah,9,24,25,18,55,63,61,59
Female,Dhahran,18,17,10,20,86,89,93,83
Female,Jeddah,7,23,10,8,29,38,28,33
Female,Dhahran,13,7,15,13,47,44,51,45
Female,Jeddah,16,12,25,12,65,62,57,62
Male,Qassim,8,21,7,11,52,56,55,48
Female,Madinah,18,23,20,9,68,55,65,59
Male,Dammam,13,8,18,5,38,36,47,35
Male,Qassim,14,20,11,14,75,82,71,75
Male,Jeddah,11,12,22,16,53,62,54,59
Male,Dammam,20,23,25,21,75,67,82,76
Female,Qassim,4,7,10,3,34,41,29,27
Male,Dhahran,23,13,21,22,82,89,91,90
Male,Qassim,14,13,11,13,41,53,45,48
Female,Dhahran,13,23,21,12,79,68,76,64
Female,Madinah,4,17,16,8,13,17,13,15
Male,Jeddah,15,25,7,13,46,44,60,48
Male,Riyadh,8,12,5,12,31,29,28,30
Female,Dhahran,8,5,20,11,33,35,30,33
Female,Qassim,9,7,20,14,45,50,42,48
Female,Dammam,17,13,20,25,92,82,91,89
Male,Jeddah,7,18,8,14,46,48,43,45
Male,Riyadh,2,12,16,7,19,34,17,22
Female,Madinah,11,15,19,8,43,37,32,40
Male,Makkah,9,15,14,10,40,42,36,40
Male,Riyadh,1,19,5,7,21,23,26,19
Female,Jeddah,24,14,18,22,96,94,89,94
Female,Riyadh,10,14,18,9,62,62,65,56
Female,Qassim,5,9,15,10,34,38,39,35
Female,Madinah,11,7,7,11,58,71,63,56
Female,Qassim,14,11,19,14,60,58,66,60
Female,Madinah,20,16,11,14,76,93,85,80
Male,Madinah,8,22,16,5,51,52,46,45
Female,Dhahran,14,9,6,16,49,52,61,53
Female,Madinah,13,14,20,11,62,53,62,51
Female,Dhahran,15,6,7,17,77,86,92,76
Female,Dammam,9,22,24,0,17,28,15,17
Male,Qassim,7,25,10,10,38,40,26,37
Male,Riyadh,15,25,14,10,36,46,46,43
Male,Riyadh,5,13,11,11,40,40,35,39
Male,Riyadh,12,15,13,12,71,68,61,66
Male,Dhahran,16,22,8,16,80,79,73,78
Female,Riyadh,11,20,17,10,50,40,37,42
Male,Riyadh,11,21,20,9,45,40,51,41
Male,Madinah,17,25,13,18,69,73,75,72
Male,Dhahran,2,16,20,12,39,24,32,30
Female,Jeddah,10,7,9,11,63,72,73,61
Male,Qassim,14,20,9,13,52,63,54,56
Female,Dhahran,21,15,17,12,75,76,68,71
Female,Dammam,5,7,25,2,39,22,40,25
Female,Makkah,4,23,19,1,12,27,24,17
Female,Riyadh,16,16,14,13,63,74,70,68
Female,Makkah,6,22,14,6,41,42,40,33
Female,Qassim,18,17,11,16,92,93,90,83
Female,Madinah,7,15,25,9,27,14,29,24
Female,Dhahran,13,5,13,12,59,59,77,54
Female,Dhahran,7,20,16,5,33,26,34,23
Female,Dhahran,9,5,14,8,62,61,60,55
Female,Madinah,20,12,23,25,85,81,95,85
Female,Dhahran,13,11,22,19,57,73,64,69
Male,Dammam,7,6,14,17,55,60,53,56
Male,Qassim,13,17,19,12,53,51,52,52
Female,Makkah,16,24,24,8,46,53,62,47
Male,Madinah,12,7,10,15,69,73,77,68
Female,Dammam,9,19,12,14,48,60,59,53
Male,Madinah,3,8,8,4,12,14,15,14
Male,Riyadh,8,23,24,4,36,33,33,31
Male,Dammam,22,23,17,19,82,83,70,84
Female,Jeddah,11,8,10,5,36,29,18,29
Male,Makkah,12,6,24,9,38,25,41,35
Male,Madinah,5,25,18,7,27,23,38,26
Male,Makkah,5,11,23,5,45,53,48,39
Male,Jeddah,5,6,9,10,39,32,46,31
Female,Qassim,6,11,21,2,40,27,28,26
Female,Dammam,5,15,14,11,40,39,31,38
Female,Dammam,18,19,23,14,72,62,77,67
Male,Jeddah,7,15,5,7,24,37,39,27
Female,Dammam,17,20,17,17,59,67,53,65
Female,Riyadh,22,5,19,15,90,75,82,77
Male,Riyadh,17,15,11,13,54,45,56,49
Female,Madinah,5,24,25,14,47,46,47,43
Male,Madinah,17,14,18,16,65,69,58,67
Female,Dammam,12,14,25,8,38,21,27,27
Male,Dammam,12,19,7,19,76,81,64,74
Female,Jeddah,11,16,8,2,38,23,40,27
Female,Dammam,15,20,12,11,66,71,53,61
Male,Madinah,10,7,21,1,37,30,24,25
Female,Dhahran,16,17,9,16,97,95,95,85
Female,Jeddah,16,7,19,12,65,52,68,56
Female,Dhahran,12,8,22,15,57,65,57,63
Female,Riyadh,6,23,22,13,48,46,49,45
Female,Makkah,13,21,13,5,38,31,31,33
Male,Riyadh,13,15,23,6,46,26,32,34
Female,Madinah,2,23,13,7,28,30,16,28
Female,Riyadh,19,20,21,15,86,79,81,79
Male,Dammam,17,24,5,15,77,76,64,75
Male,Qassim,15,21,5,6,46,59,47,50
Male,Makkah,2,9,18,7,36,22,28,23
Female,Jeddah,11,10,21,18,60,51,51,55
Male,Makkah,10,22,15,14,68,52,49,54
Female,Dammam,24,6,11,15,92,99,94,89
Female,Qassim,15,25,15,23,94,82,80,87
Female,Qassim,20,25,16,16,80,76,80,76
Male,Makkah,10,10,15,7,30,32,41,29
Female,Dhahran,9,13,6,13,34,50,46,44
Female,Dhahran,11,5,11,6,43,43,54,40
Female,Qassim,22,7,11,17,70,72,83,73
Male,Makkah,8,13,17,6,34,28,40,29
Female,Qassim,5,25,17,5,47,30,42,32
Male,Riyadh,9,8,8,13,39,26,30,37
Male,Riyadh,25,5,7,17,81,96,100,85
Male,Dammam,11,5,8,12,53,70,72,58
Male,Madinah,5,14,21,10,39,50,43,42
Female,Madinah,8,17,22,7,30,25,13,28
Female,Jeddah,13,7,12,20,73,86,72,79
Male,Jeddah,21,8,17,22,89,89,85,89
Female,Dhahran,12,22,25,15,80,75,74,74
Male,Dhahran,8,7,15,6,49,43,41,39
Female,Jeddah,14,15,23,16,82,76,67,74
Female,Makkah,10,21,20,5,15,26,13,22
Male,Riyadh,11,20,5,16,50,52,51,53
Female,Riyadh,9,16,19,13,64,70,59,63
Female,Makkah,13,21,14,17,66,67,78,64
Female,Dammam,14,21,15,9,37,31,37,34
Male,Riyadh,14,13,25,13,49,31,39,41
Male,Jeddah,15,6,16,17,84,82,90,81
Male,Qassim,5,16,24,5,27,26,32,21
Female,Dhahran,14,15,7,20,84,78,88,79
Female,Jeddah,1,11,17,11,19,30,17,25
Male,Makkah,10,21,16,17,55,49,60,52
Male,Jeddah,2,6,11,3,36,33,24,28
Male,Dammam,11,16,14,14,70,54,71,57
Female,Qassim,10,5,8,11,61,51,62,52
Male,Madinah,2,13,15,12,38,26,37,32
Female,Dhahran,11,5,12,14,48,39,49,46
Male,Riyadh,9,13,24,6,47,32,40,35
Female,Dhahran,20,23,25,12,71,64,62,67
Female,Makkah,14,8,11,17,62,46,57,58
Male,Dhahran,17,22,6,16,74,86,81,76
Male,Riyadh,15,16,20,18,69,58,52,64
Male,Dammam,9,20,10,12,49,58,52,48
Female,Dammam,14,20,5,16,54,48,46,52
Male,Riyadh,7,14,24,2,34,23,36,24
Female,Makkah,16,24,25,18,90,84,79,81
Male,Makkah,7,5,23,14,64,59,49,54
Female,Qassim,6,17,14,7,44,33,39,33
Male,Riyadh,11,12,21,8,55,68,65,54
Female,Dammam,17,24,13,16,65,51,60,62
Male,Dhahran,11,16,25,15,43,59,52,53
Female,Makkah,3,21,16,5,39,36,45,32
Female,Riyadh,19,14,5,11,73,62,73,66
Male,Qassim,8,8,11,8,48,31,33,38
Male,Makkah,11,11,24,10,37,37,39,40
Female,Madinah,15,7,7,11,69,63,70,62
Male,Qassim,13,22,24,21,90,85,91,81
Female,Dammam,1,12,22,5,34,17,29,22
Female,Madinah,13,6,19,11,50,61,52,55
Male,Qassim,10,8,25,15,72,77,64,71
Male,Jeddah,7,18,13,11,64,50,57,52
Male,Madinah,11,18,22,11,43,44,52,43
