Quiz-1,Quiz-2,Quiz-3,Quiz-4,Major-1,Major-2,Major-3,Final
16,9,12,12,56,58,45,55
6,16,24,12,26,40,36,37
7,20,8,5,13,29,19,24
9,12,23,11,27,21,31,27
5,11,9,6,33,41,21,35
10,11,14,0,17,23,25,16
12,16,8,22,85,84,84,84
14,17,13,17,64,71,58,66
8,15,7,3,30,25,29,25
17,8,8,17,68,68,49,71
18,18,20,17,68,81,71,73
22,5,10,20,86,75,70,83
8,25,24,12,54,44,55,46
13,16,17,5,31,29,45,32
16,6,10,10,53,42,40,49
15,22,6,19,68,84,77,77
5,7,9,7,27,33,36,30
16,19,24,20,85,84,84,84
11,22,6,20,60,65,70,67
25,12,6,19,81,83,97,82
14,24,11,11,77,68,76,62
18,12,13,22,83,87,81,85
14,22,6,5,49,35,50,35
16,12,6,7,47,57,42,47
13,8,6,9,34,38,30,36
7,18,22,1,17,30,12,22
7,6,13,2,31,22,40,19
17,25,13,18,75,71,74,72
10,23,16,4,38,27,32,31
18,22,8,9,55,72,70,60
4,24,10,9,29,37,33,29
17,15,6,11,71,77,70,69
19,12,6,12,56,59,63,60
8,6,13,13,54,58,57,53
19,21,13,21,90,72,88,82
10,18,13,17,61,76,61,66
13,5,16,15,90,81,83,78
16,16,14,12,57,44,47,53
25,15,8,15,91,86,96,86
11,25,12,3,37,26,17,29
16,21,17,16,57,59,52,59
14,17,25,14,79,81,80,72
19,17,21,19,78,76,85,74
11,22,22,7,29,45,35,34
16,20,20,15,91,97,96,88
9,24,21,4,35,33,22,27
10,17,19,15,52,45,53,51
14,14,13,8,42,33,35,35
11,19,24,16,57,57,51,57
16,15,13,10,72,64,68,62
6,18,6,6,26,25,21,23
2,18,9,1,26,22,28,14
5,23,5,6,30,33,35,30
6,13,8,8,41,43,36,36
6,14,13,5,30,18,19,23
12,24,11,14,40,51,55,46
7,25,6,5,21,35,34,24
10,7,22,5,42,51,36,41
16,5,11,7,48,41,48,43
12,22,25,6,39,58,50,44
1,13,9,1,27,31,20,18
14,21,20,13,53,49,60,50
18,16,15,20,72,72,80,73
2,21,9,9,32,32,33,31
16,17,16,11,41,48,59,44
4,6,13,8,28,27,24,29
22,15,17,15,86,88,78,81
21,19,8,23,79,79,94,82
9,6,8,16,47,55,43,51
9,8,6,13,31,46,48,39
6,20,23,11,24,38,21,30
4,11,25,7,33,36,43,32
5,11,12,5,49,34,32,33
13,16,23,17,71,82,84,72
8,8,19,6,47,32,38,34
18,11,10,19,57,62,71,67
12,13,25,17,55,60,48,56
22,25,19,12,71,69,75,69
11,20,18,5,37,41,50,36
2,14,5,3,21,18,22,16
21,15,24,15,71,79,88,73
14,8,20,18,50,53,49,58
13,9,22,11,56,56,65,50
12,12,23,14,78,74,76,70
6,17,23,12,49,58,41,49
17,10,20,13,72,66,60,64
11,17,24,10,64,63,67,59
16,12,23,9,65,70,69,58
9,23,9,15,59,66,55,60
15,12,24,17,94,81,80,83
7,18,6,7,21,23,35,23
8,8,16,14,42,48,32,44
10,17,20,10,75,65,77,63
12,13,23,14,43,45,37,47
16,25,24,16,58,58,62,62
12,15,14,13,76,64,74,65
8,8,19,8,37,40,33,37
6,15,23,11,41,29,39,32
23,22,24,18,95,89,91,86
19,14,21,13,55,60,52,61
21,10,13,13,75,76,72,73
18,5,12,25,85,87,80,90
13,13,9,15,61,69,57,66
23,24,15,25,93,90,99,95
17,25,6,16,75,63,62,69
18,20,10,15,100,84,99,82
20,5,6,19,68,75,58,77
15,17,23,14,60,70,61,64
14,13,22,19,84,91,81,85
21,17,16,18,87,91,91,88
13,17,20,11,76,63,68,64
21,5,24,19,71,70,84,75
14,18,18,7,55,50,48,46
21,16,18,17,82,67,76,76
21,6,7,20,88,91,80,91
15,14,5,14,38,35,41,42
5,10,20,6,38,36,34,34
7,8,23,10,16,14,18,21
8,24,13,18,68,55,51,58
15,25,12,14,48,44,50,46
5,5,6,5,26,26,35,22
18,23,25,17,82,73,85,78
4,7,25,11,26,22,31,23
6,22,8,9,21,34,21,30
10,12,20,8,21,17,28,24
10,5,18,5,12,15,28,15
1,16,17,2,24,23,28,16
23,9,13,16,92,89,92,85
8,19,19,5,46,27,41,29
14,16,14,17,67,64,71,67
11,13,6,14,65,64,51,61
15,25,10,10,68,64,63,61
16,17,7,15,60,62,63,63
6,15,23,3,31,17,14,22
9,22,23,19,73,63,57,64
6,21,6,4,50,34,31,31
20,6,9,22,89,98,96,93
9,12,5,15,62,54,55,54
11,13,18,7,47,39,36,37
24,12,17,23,80,84,82,86
12,9,5,10,53,40,40,42
19,7,6,16,81,79,73,75
19,5,23,19,90,78,75,80
9,24,13,12,31,28,22,31
6,15,11,5,54,55,50,42
16,21,9,11,51,43,54,46
11,6,12,9,54,37,41,43
11,25,11,12,51,57,59,51
12,25,17,13,80,84,80,75
5,10,16,4,39,39,36,30
9,18,23,5,27,30,41,25
13,14,12,7,58,53,59,48
6,5,8,9,42,45,54,37
12,23,5,15,53,67,68,57
15,16,25,11,51,54,40,53
8,17,15,3,31,32,19,27
6,18,5,6,54,39,42,39
23,6,21,16,84,72,90,75
3,12,5,7,31,21,24,23
19,20,7,20,80,78,88,81
9,12,16,18,52,65,64,57
10,9,10,2,31,28,38,26
10,18,12,4,42,30,30,33
19,11,10,20,83,76,83,81
16,11,10,13,63,44,48,51
6,20,9,10,46,33,35,35
19,13,14,17,62,62,76,63
3,12,20,11,27,26,34,28
7,13,8,10,41,51,43,41
18,15,25,22,85,97,100,87
12,19,17,13,55,64,49,55
12,12,10,14,69,71,61,64
18,22,9,15,71,73,71,73
14,12,13,14,42,42,37,45
5,10,12,10,31,12,26,24
9,18,20,5,42,37,26,36
16,14,20,20,89,78,81,80
6,20,8,8,31,33,26,29
15,17,20,14,66,59,73,62
16,6,16,15,72,71,75,70
10,9,18,6,22,32,31,24
2,12,15,10,32,26,34,30
9,17,23,11,52,64,68,56
11,9,22,21,67,67,66,68
11,10,13,4,43,43,42,36
12,7,6,14,50,67,68,57
11,14,20,13,62,63,52,58
8,15,24,13,51,55,50,49
17,21,23,13,72,74,66,67
7,22,7,4,36,33,28,27
3,12,19,4,32,31,33,28
6,17,16,9,54,36,48,39
3,11,5,13,26,46,30,35
5,9,22,3,45,46,34,35
14,14,13,14,30,48,39,43
20,18,5,14,75,78,82,76
11,6,15,6,40,22,24,28
18,15,7,9,59,61,64,58
19,19,23,18,87,91,93,85
8,21,25,8,38,42,44,35
14,12,25,15,56,55,59,56
21,7,24,17,92,90,93,89
13,7,25,8,64,63,50,53
15,20,8,12,70,63,55,61
7,5,21,5,40,34,31,31
13,17,12,18,77,82,66,76
18,7,17,23,79,79,77,83
3,13,17,4,34,23,30,20
7,12,21,11,22,34,26,32
5,5,5,4,37,38,28,30
13,17,25,14,39,45,34,43
4,5,8,1,29,26,32,19
16,25,11,12,81,83,75,73
9,22,13,6,30,33,21,28
15,16,19,13,48,47,40,48
15,11,5,6,50,44,51,43
20,5,6,20,78,77,85,79
14,24,13,13,48,48,55,47
11,21,15,14,58,73,66,63
11,21,13,11,51,60,59,55
14,15,23,12,86,81,68,71
17,22,22,12,50,51,56,50
20,25,22,15,89,95,99,83
7,22,22,13,41,54,49,49
16,6,23,19,81,84,86,80
5,17,18,4,24,23,29,23
9,18,20,8,29,21,22,24
11,12,8,5,33,44,33,36
21,13,6,14,78,81,93,77
11,17,23,15,52,55,59,53
9,8,20,8,39,48,49,41
8,19,25,5,44,35,35,35
6,6,22,10,36,24,24,28
14,19,21,17,63,57,56,59
18,25,16,24,98,82,80,89
11,12,23,17,48,54,61,51
12,12,20,17,59,52,67,57
10,18,7,10,39,37,34,35
14,25,6,11,41,56,51,50
7,5,23,13,52,57,60,54
12,13,24,3,28,34,41,29
14,25,5,20,85,76,86,80
15,20,5,19,81,92,90,84
15,21,5,13,67,70,56,64
11,10,11,13,71,69,74,61
11,5,19,15,80,69,75,66
16,23,20,18,81,77,84,76
13,8,8,10,49,48,40,47
6,7,7,7,28,31,33,27
16,20,25,13,68,67,69,61
24,21,10,23,89,87,92,88
17,24,8,19,100,98,85,94
10,15,10,17,61,57,55,61
14,6,7,8,30,35,42,34
9,24,22,14,43,31,50,41
10,23,25,18,63,57,64,58
16,9,20,10,50,45,44,44
12,18,10,16,49,46,46,52
8,10,21,5,33,33,32,28
9,22,21,17,61,60,56,61
22,20,12,18,71,89,71,80
12,9,9,12,63,58,45,58
5,7,5,13,41,35,45,35
11,19,7,11,50,49,45,49
16,10,8,17,79,82,66,76
16,9,5,17,98,88,83,85
6,21,21,6,51,42,55,40
15,8,9,18,87,77,87,75
21,24,16,23,80,85,77,85
23,6,13,17,94,78,82,80
18,15,11,24,85,81,90,82
20,12,12,15,93,79,93,82
15,21,25,14,57,52,60,54
17,23,18,23,71,84,78,78
14,22,19,16,82,68,85,70
11,18,25,19,64,63,64,65
18,11,15,18,77,72,74,72
19,25,14,12,64,63,75,60
20,7,7,21,88,88,83,88
14,12,22,8,54,49,36,49
21,12,20,16,85,90,89,85
9,18,5,17,44,44,64,45
18,23,22,8,55,67,55,54
14,15,22,8,53,38,52,44
3,6,14,12,25,34,25,28
14,14,23,11,59,58,47,58
18,23,18,17,73,73,71,72
19,24,23,20,76,80,84,78
6,25,9,2,16,20,15,14
9,13,11,8,29,29,22,30
8,25,6,8,65,64,68,57
23,8,10,15,88,88,81,83
11,15,21,2,41,30,40,29
15,25,10,20,60,63,58,63
20,10,7,19,72,81,70,75
21,16,12,22,88,75,78,84
11,20,9,17,58,56,69,56
17,14,25,12,71,77,64,71
8,11,6,11,62,60,57,53
11,16,18,7,34,42,30,36
8,13,7,11,48,55,57,49
4,18,13,12,40,42,40,37
18,22,9,19,72,71,70,72
15,20,11,8,52,48,57,47
19,15,21,21,86,90,86,89
6,20,15,11,34,21,25,30
5,5,19,14,30,42,39,38
5,9,25,10,40,50,32,40
7,14,24,15,52,55,44,49
12,18,11,8,60,63,59,52
7,23,11,2,22,29,27,23
15,13,11,14,88,89,85,82
12,24,24,18,71,58,55,66
4,18,17,8,21,39,38,27
13,23,20,15,52,55,64,53
13,8,18,12,72,72,78,65
12,8,5,8,65,48,65,48
19,15,16,21,82,80,90,83
21,16,22,12,72,70,70,69
14,19,11,13,61,52,52,52
1,12,10,0,19,30,26,15
11,13,16,12,31,29,33,31
10,11,23,6,42,45,36,40
14,13,9,10,69,58,61,56
3,14,8,5,29,32,30,26
10,22,16,14,71,67,63,64
11,20,14,10,33,34,27,38
13,17,6,12,34,38,33,41
18,10,18,22,67,84,68,80
13,19,14,10,45,54,55,50
3,5,15,12,43,45,38,44
9,5,6,3,35,26,21,25
8,22,16,8,52,68,60,54
13,6,21,6,50,39,39,37
13,12,19,16,45,44,63,48
10,8,18,13,56,51,56,51
6,21,24,10,32,30,40,33
10,11,11,8,33,38,40,34
14,10,8,14,51,63,55,57
12,17,22,10,68,57,67,56
19,22,22,22,89,95,87,89
15,21,14,18,61,63,72,61
17,21,11,21,90,88,83,88
8,16,15,8,33,40,46,37
18,21,5,12,73,66,58,65
16,14,10,14,71,59,56,61
8,12,17,7,46,49,46,39
5,21,21,13,36,48,37,39
18,5,16,13,58,58,57,60
24,17,7,25,95,97,81,96
13,7,6,6,42,45,43,37
5,14,11,6,31,37,17,29
14,13,7,18,70,75,74,74
15,9,5,15,55,50,51,56
20,24,6,11,58,71,67,64
17,7,7,15,73,78,71,74
12,20,9,7,36,39,34,33
22,23,8,12,68,75,69,70
9,25,25,7,62,50,61,45
12,7,10,16,64,50,59,54
9,23,15,8,18,14,25,20
21,17,8,15,72,76,74,71
8,9,10,9,34,22,26,31
15,7,18,8,37,41,39,37
16,10,20,16,79,68,81,71
19,23,6,20,82,78,82,79
11,16,18,19,63,80,63,70
9,10,10,13,53,36,44,42
3,23,18,8,26,29,28,27
17,11,17,20,84,71,73,78
10,25,11,9,18,28,19,26
14,17,22,9,46,53,63,48
24,11,19,22,88,82,78,85
19,15,17,20,59,62,68,66
20,23,5,22,83,88,82,85
20,5,25,24,78,83,90,83
5,15,15,2,12,30,30,16
24,15,17,24,86,86,76,87
14,14,24,16,75,86,73,76
16,10,25,17,60,47,55,57
17,14,7,14,65,67,52,62
12,10,21,12,40,39,27,39
16,22,19,20,79,81,89,76
20,17,20,14,78,82,82,77
7,18,16,10,46,48,48,45
11,19,9,10,56,65,66,55
13,24,15,12,70,76,82,69
9,11,23,8,27,32,26,29
10,16,13,11,64,58,52,55
16,13,21,14,62,45,54,54
22,12,20,21,80,86,84,83
11,5,18,8,50,47,47,46
15,19,15,17,82,83,66,75
7,15,23,4,34,38,44,31
3,25,24,12,31,35,30,32
16,12,8,13,68,54,60,60
20,18,18,21,69,66,79,74
7,20,19,14,43,36,42,40
5,10,10,15,51,44,45,46
14,7,7,10,50,51,54,46
23,22,6,20,81,83,83,83
4,18,7,1,32,18,17,17
18,9,10,20,93,95,99,88
9,19,17,4,27,27,28,25
11,15,24,10,54,62,61,55
2,23,24,7,26,37,32,29
5,7,11,5,35,23,41,23
20,5,8,19,83,75,88,77
19,24,18,18,73,83,71,78
17,18,14,9,52,72,73,59
11,25,15,5,31,32,38,28
9,11,11,9,33,22,21,28
11,7,22,7,50,52,44,44
16,7,25,13,64,64,48,63
10,17,16,0,18,31,16,23
15,8,20,11,51,59,41,53
6,17,24,5,54,38,50,35
19,11,25,13,77,79,84,76
13,14,24,5,50,38,49,41
19,22,12,18,82,85,81,80
19,14,20,19,80,79,82,79
12,20,11,15,62,44,58,51
10,20,8,12,39,45,50,41
17,19,23,10,64,46,58,49
10,25,6,15,65,69,61,63
14,13,13,12,75,68,63,65
9,14,7,9,23,26,35,28
12,20,21,7,36,40,40,34
25,19,21,22,91,88,88,90
22,15,10,20,85,77,91,79
14,14,16,17,91,90,82,86
4,11,21,3,31,37,36,30
23,5,15,16,80,86,91,83
20,16,12,12,76,65,71,67
3,8,9,11,36,41,36,37
2,18,16,6,23,27,17,21
6,6,21,11,32,27,37,29
22,7,10,17,91,93,84,89
9,25,10,4,40,25,27,25
21,20,22,22,76,90,77,87
13,19,23,14,38,42,40,41
9,15,20,16,64,54,53,55
12,15,19,3,34,42,37,34
12,7,17,9,46,54,59,45
9,10,12,6,21,30,39,28
4,21,22,8,44,31,44,34
15,10,19,15,56,52,55,58
19,7,19,14,80,63,76,68
18,22,19,19,64,82,65,74
9,15,21,10,39,38,36,35
23,23,24,15,80,98,86,87
11,25,8,12,68,58,61,59
16,12,24,9,56,51,51,52
15,22,16,22,80,80,82,80
18,5,14,12,58,70,77,62
12,14,11,11,59,67,48,56
19,19,14,15,92,89,82,82
2,21,25,6,30,36,24,27
13,12,19,10,62,61,72,54
16,16,8,16,89,82,88,82
15,18,14,20,93,82,94,86
7,15,10,5,34,20,17,21
16,6,9,16,47,55,41,52
16,16,8,20,70,66,74,73
13,10,10,12,26,45,36,42
1,23,17,3,13,13,12,12
14,17,15,15,59,46,51,52
14,18,16,15,52,48,49,51
21,7,25,16,98,90,84,89
13,11,13,22,72,79,80,76
2,21,24,10,32,37,36,31
14,18,20,11,51,55,50,50
13,6,19,6,35,40,42,33
11,11,9,13,46,39,43,46
5,14,20,4,45,26,32,26
19,24,16,17,58,52,66,58
18,14,13,16,66,75,81,68
25,24,8,24,91,82,80,92
10,22,21,18,65,52,56,60
12,12,19,9,31,39,48,39
21,23,21,17,88,91,81,84
16,25,9,23,84,76,84,83
10,24,6,7,34,17,17,28
16,23,6,12,62,49,62,56
12,22,6,6,35,44,40,39
10,17,25,2,37,19,34,23
8,6,15,7,63,63,45,50
17,7,11,14,54,73,60,62
16,25,8,17,76,81,64,75
18,15,25,18,51,54,48,59
4,21,7,6,27,22,27,19
4,20,21,6,21,30,34,26
3,7,7,10,36,23,35,27
10,21,16,10,57,52,72,50
14,18,13,15,53,64,51,59
19,8,7,13,65,53,57,56
16,23,12,15,82,70,62,74
7,15,8,8,58,61,45,52
22,17,5,21,84,73,72,80
16,7,14,17,81,80,81,79
13,25,9,6,38,40,42,39
8,14,9,11,47,49,63,47
9,22,17,12,35,42,45,42
10,21,10,7,43,30,42,32
14,15,8,11,51,49,47,47
14,25,12,10,61,64,53,57
10,8,24,4,13,27,19,23
6,24,24,4,41,33,31,31
4,20,15,6,47,37,41,33
20,24,13,18,76,72,64,74
6,16,14,10,33,32,41,31
9,7,14,3,19,30,29,20
14,20,23,8,42,56,50,48
15,10,11,14,36,45,46,43
15,13,5,11,48,68,67,56
13,5,5,18,61,73,60,66
17,14,12,20,89,77,95,80
11,11,21,14,62,51,56,57
20,21,22,15,81,76,84,77
9,7,17,6,42,44,41,40
4,25,25,6,29,31,28,24
6,10,19,4,28,27,32,24
14,24,18,14,63,62,66,63
9,8,15,8,48,51,61,42
11,12,5,12,68,75,75,66
15,5,22,25,98,93,87,94
11,9,21,9,71,62,71,57
11,17,8,3,24,34,30,25
10,25,10,12,41,25,26,36
14,5,13,15,94,85,95,81
19,22,15,13,76,66,68,66
10,5,5,2,33,31,40,26
22,12,16,14,86,91,75,85
7,10,16,14,49,47,48,46
12,5,22,10,29,21,23,31
18,23,8,14,73,80,75,73
7,8,15,11,44,34,33,36
24,11,21,18,76,93,83,86
23,7,16,23,91,83,78,89
12,7,14,9,57,64,63,53
16,18,23,13,80,84,80,73
11,16,20,13,55,65,59,58
15,17,13,18,64,57,71,60
14,13,12,17,66,69,64,67
10,22,14,4,26,18,26,22
17,21,25,17,66,57,60,62
8,5,21,11,45,50,52,46
11,5,22,17,70,66,73,63
6,18,18,5,41,37,42,33
18,11,23,19,72,71,67,71
21,24,21,17,74,79,80,75
18,5,13,13,66,73,76,65
12,10,12,12,71,57,58,56
8,6,21,9,31,36,44,31
20,7,22,16,84,79,93,80
18,23,6,16,78,82,78,79
11,20,21,12,73,57,62,56
11,22,17,14,52,55,62,50
19,8,12,20,77,92,78,86
15,9,17,18,82,84,88,77
16,5,17,18,73,71,63,74
17,25,21,18,69,63,58,68
11,24,20,9,46,44,38,45
5,21,14,7,48,47,39,37
18,9,22,18,75,57,68,70
14,17,23,14,44,46,47,51
9,15,11,10,63,51,60,48
14,7,14,13,58,56,51,54
10,7,24,11,73,57,61,55
11,19,7,6,26,21,30,22
10,13,9,15,69,73,60,65
7,20,12,11,40,44,45,40
20,22,20,22,71,83,82,80
2,7,24,3,32,29,23,22
14,6,20,11,44,50,46,50
18,16,19,22,93,80,92,87
15,10,19,21,79,72,67,78
4,15,12,7,14,20,25,15
4,14,22,5,32,21,17,25
22,24,13,21,80,100,84,93
15,13,5,10,66,55,60,55
9,13,24,13,39,49,42,43
21,11,16,17,75,76,77,78
10,5,9,14,49,47,40,48
14,6,24,19,82,76,90,79
21,20,17,20,77,79,71,78
20,19,21,23,99,81,86,90
17,8,24,16,73,78,86,70
18,22,20,22,95,89,85,91
12,10,18,8,25,40,24,36
6,8,8,3,27,31,41,24
14,24,10,12,37,37,39,39
10,17,8,7,49,39,40,38
14,23,10,14,48,47,47,47
11,23,19,15,77,68,62,65
5,20,22,4,30,41,41,31
16,22,9,9,53,59,66,52
7,14,5,3,32,24,30,24
4,20,15,11,41,21,27,27
13,5,7,16,41,55,39,52
17,19,21,21,71,62,68,67
13,18,20,17,74,76,67,74
10,12,7,15,54,40,43,49
4,25,25,10,19,17,26,22
13,18,15,11,64,58,54,58
8,12,7,4,41,30,27,32
10,21,14,17,52,63,71,57
4,17,21,9,30,27,29,27
9,5,11,12,58,70,59,57
8,25,19,11,52,39,54,42
19,13,20,22,71,67,74,72
11,8,23,18,65,78,82,72
14,17,10,7,58,44,47,48
15,19,21,24,87,76,91,81
6,12,8,8,23,12,23,21
5,17,24,12,21,29,25,28
5,19,13,7,26,30,28,25
14,25,22,14,66,77,62,69
18,16,9,22,82,78,71,82
6,23,16,6,51,52,44,43
19,9,15,20,73,78,84,78
3,24,16,4,25,23,26,21
20,9,22,21,83,100,90,89
14,9,20,17,80,80,80,73
16,15,5,24,87,90,78,90
5,14,12,5,31,45,39,32
0,11,16,3,24,30,32,18
19,20,13,16,78,72,74,70
7,5,22,3,34,27,33,26
20,18,16,23,85,81,86,86
15,18,22,12,59,40,49,46
8,12,23,4,29,25,23,22
9,16,12,14,50,38,43,43
6,13,9,4,40,30,46,26
20,6,12,15,81,76,78,76
3,17,6,4,25,36,36,28
17,14,18,18,94,93,80,85
21,25,22,23,89,87,76,90
12,9,24,5,41,21,37,28
23,5,21,20,88,88,75,90
3,18,6,0,29,17,17,18
15,6,23,14,85,75,76,70
21,16,5,15,72,84,84,73
6,6,12,12,40,50,43,45
5,11,17,7,31,30,27,29
18,23,19,17,79,82,90,75
4,22,18,8,16,16,21,19
17,24,21,15,84,92,82,84
7,8,5,12,28,41,23,36
7,8,18,4,31,39,35,31
12,14,19,4,31,25,22,29
11,16,24,8,40,36,23,38
10,22,8,17,52,47,53,49
14,6,7,15,62,61,65,58
10,25,17,10,31,43,32,37
8,7,5,14,46,49,48,45
15,24,24,15,72,78,82,72
18,18,10,16,73,68,84,70
20,19,15,24,91,87,78,89
12,10,20,12,76,67,77,65
18,10,17,13,57,65,76,60
14,12,14,15,59,61,65,61
20,5,8,20,78,81,71,81
7,21,21,7,48,44,63,42
16,11,16,23,87,90,93,90
19,23,23,18,60,63,64,63
6,8,11,10,25,32,37,28
9,13,6,3,36,41,41,34
12,22,11,7,38,26,41,30
10,24,17,13,65,73,54,63
10,15,19,8,13,23,22,24
7,21,11,5,33,30,25,30
18,14,11,9,73,56,63,60
7,8,19,16,59,46,50,49
9,5,16,12,35,41,42,39
8,14,22,12,41,46,33,45
20,21,9,19,71,79,71,77
21,15,6,20,72,69,69,71
16,21,19,12,57,61,71,55
11,23,10,8,62,51,67,48
7,7,15,5,13,32,31,20
10,9,16,14,53,66,59,60
13,15,5,18,80,71,86,75
7,18,21,13,44,39,37,42
17,24,5,22,81,91,97,87
6,10,13,2,25,36,36,24
9,14,14,6,34,25,38,25
4,21,12,1,14,21,31,13
3,21,20,6,22,40,37,28
12,22,8,10,40,33,35,37
15,25,21,19,76,67,69,72
12,24,6,6,33,31,45,28
8,8,7,6,29,25,33,27
19,10,8,18,63,71,72,70
12,6,22,12,41,36,55,41
20,25,11,20,62,75,78,73
12,23,8,20,72,76,69,72
14,22,6,16,64,54,63,61
15,7,17,18,71,85,72,75
6,16,16,2,24,31,32,23
19,10,13,21,71,72,88,77
10,21,23,13,44,28,35,36
21,10,16,16,75,81,84,74
20,18,10,18,63,63,65,68
