manufacturer,fuel_type,num_of_doors,body_style,length,width,height,num_of_cylinders,engine_size,horsepower,city_mpg,highway_mpg,price
subaru,gas,four,wagon,173.5,65.4,53,four,108,94,25,31,10198
subaru,gas,four,wagon,173.6,65.4,54.9,four,108,82,23,29,8013
subaru,gas,four,wagon,173.6,65.4,54.9,four,108,111,23,23,11694
toyota,gas,two,hatchback,158.7,63.6,54.5,four,92,62,35,39,5348
toyota,gas,two,hatchback,158.7,63.6,54.5,four,92,62,31,38,6338
toyota,gas,four,hatchback,158.7,63.6,54.5,four,92,62,31,38,6488
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,31,37,6918
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,27,32,7898
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,27,32,8778
toyota,gas,four,sedan,166.3,64.4,53,four,98,70,30,37,6938
toyota,gas,four,hatchback,166.3,64.4,52.8,four,98,70,30,37,7198
toyota,diesel,four,sedan,166.3,64.4,53,four,110,56,34,36,7898
toyota,diesel,four,hatchback,166.3,64.4,52.8,four,110,56,38,47,7788
toyota,gas,four,sedan,166.3,64.4,53,four,98,70,38,47,7738
toyota,gas,four,hatchback,166.3,64.4,52.8,four,98,70,28,34,8358
toyota,gas,four,sedan,166.3,64.4,52.8,four,98,70,28,34,9258
toyota,gas,two,sedan,168.7,64,52.6,four,98,70,29,34,8058
toyota,gas,two,hatchback,168.7,64,52.6,four,98,70,29,34,8238
toyota,gas,two,sedan,168.7,64,52.6,four,98,112,26,29,9298
toyota,gas,two,hatchback,168.7,64,52.6,four,98,112,26,29,9538
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,24,30,8449
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,24,30,9639
toyota,gas,two,hatchback,176.2,65.6,52,four,146,116,24,30,9989
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,24,30,11199
toyota,gas,two,hatchback,176.2,65.6,52,four,146,116,24,30,11549
toyota,gas,two,convertible,176.2,65.6,53,four,146,116,24,30,17669
toyota,gas,four,sedan,175.6,66.5,54.9,four,122,92,29,34,8948
toyota,diesel,four,sedan,175.6,66.5,54.9,four,110,73,30,33,10698
toyota,gas,four,hatchback,175.6,66.5,53.9,four,122,92,27,32,9988
toyota,gas,four,sedan,175.6,66.5,54.9,four,122,92,27,32,10898
toyota,gas,four,hatchback,175.6,66.5,53.9,four,122,92,27,32,11248
toyota,gas,two,hatchback,183.5,67.7,52,six,171,161,20,24,16558
toyota,gas,two,hatchback,183.5,67.7,52,six,171,161,19,24,15998
toyota,gas,four,sedan,187.8,66.5,54.1,six,171,156,20,24,15690
volkswagen,diesel,two,sedan,171.7,65.5,55.7,four,97,52,37,46,7775
volkswagen,gas,two,sedan,171.7,65.5,55.7,four,109,85,27,34,7975
volkswagen,diesel,four,sedan,171.7,65.5,55.7,four,97,52,37,46,7995
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,85,27,34,8195
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,85,27,34,8495
volkswagen,diesel,four,sedan,171.7,65.5,55.7,four,97,68,37,42,9495
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,100,26,32,9995
volkswagen,gas,two,hatchback,165.7,64,51.4,four,109,90,24,29,9980
volvo,gas,four,sedan,188.8,67.2,56.2,four,141,114,23,28,12940
volvo,gas,four,wagon,188.8,67.2,57.5,four,141,114,23,28,13415
volvo,gas,four,sedan,188.8,67.2,56.2,four,141,114,24,28,15985
volvo,gas,four,wagon,188.8,67.2,57.5,four,141,114,24,28,16515
volvo,gas,four,sedan,188.8,67.2,56.2,four,130,162,17,22,18420
volvo,gas,four,wagon,188.8,67.2,57.5,four,130,162,17,22,18950
volvo,gas,four,sedan,188.8,68.9,55.5,four,141,114,23,28,16845
volvo,gas,four,sedan,188.8,68.8,55.5,four,141,160,19,25,19045
volvo,gas,four,sedan,188.8,68.9,55.5,six,173,134,18,23,21485
volvo,diesel,four,sedan,188.8,68.9,55.5,six,145,106,26,27,22470
volvo,gas,four,sedan,188.8,68.9,55.5,four,141,114,19,25,22625
