manufacturer,fuel_type,num_of_doors,body_style,length,width,height,num_of_cylinders,engine_size,horsepower,price
plymouth,gas,four,sedan,167.3,63.8,50.8,four,98,68,"$7,609 "
plymouth,gas,four,wagon,174.6,64.6,59.8,four,122,88,"$8,921 "
porsche,gas,two,hatchback,168.9,68.3,50.2,four,151,143,"$22,018 "
saab,gas,two,hatchback,186.6,66.5,56.1,four,121,110,"$11,850 "
saab,gas,four,sedan,186.6,66.5,56.1,four,121,110,"$12,170 "
saab,gas,two,hatchback,186.6,66.5,56.1,four,121,110,"$15,040 "
saab,gas,four,sedan,186.6,66.5,56.1,four,121,110,"$15,510 "
saab,gas,two,hatchback,186.6,66.5,56.1,four,121,160,"$18,150 "
saab,gas,four,sedan,186.6,66.5,56.1,four,121,160,"$18,620 "
subaru,gas,two,hatchback,156.9,63.4,53.7,four,97,,"$5,118 "
subaru,gas,two,hatchback,157.9,63.6,53.7,four,108,73,"$7,053 "
subaru,gas,two,hatchback,157.3,63.8,55.7,four,108,73,"$7,603 "
subaru,gas,four,sedan,172,65.4,52.5,four,108,82,"$7,126 "
subaru,gas,four,sedan,172,65.4,52.5,four,108,82,"$7,775 "
subaru,gas,four,sedan,172,65.4,52.5,four,108,94,"$9,960 "
subaru,gas,four,sedan,172,65.4,54.3,four,108,82,"$9,233 "
subaru,gas,four,sedan,172,65.4,54.3,four,108,111,"$11,259 "
subaru,gas,four,wagon,173.5,65.4,53,four,108,82,"$7,463 "
subaru,gas,four,wagon,173.5,65.4,53,four,108,94,"$10,198 "
subaru,gas,four,wagon,173.6,65.4,54.9,four,108,82,"$8,013 "
subaru,gas,four,wagon,173.6,65.4,54.9,four,108,111,"$11,694 "
,gas,two,hatchback,158.7,63.6,54.5,four,92,62,"$5,348 "
toyota,gas,two,hatchback,158.7,63.6,54.5,four,92,62,"$6,338 "
toyota,gas,four,hatchback,158.7,63.6,54.5,four,92,62,"$6,488 "
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,"$6,918 "
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,"$7,898 "
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,"$8,778 "
toyota,gas,four,sedan,166.3,64.4,53,four,98,70,"$6,938 "
toyota,gas,four,hatchback,166.3,64.4,52.8,four,98,,"$7,198 "
,diesel,four,sedan,166.3,64.4,53,four,110,56,"$7,898 "
toyota,diesel,four,hatchback,166.3,64.4,52.8,four,110,56,"$7,788 "
toyota,gas,four,sedan,166.3,64.4,53,four,98,70,"$7,738 "
toyota,gas,four,hatchback,166.3,64.4,52.8,four,98,70,"$8,358 "
toyota,gas,four,sedan,166.3,64.4,52.8,four,98,70,"$9,258 "
toyota,gas,two,sedan,168.7,64,52.6,four,98,70,"$8,058 "
toyota,gas,two,hatchback,168.7,64,52.6,four,98,70,"$8,238 "
toyota,gas,two,sedan,168.7,64,52.6,four,98,112,"$9,298 "
toyota,gas,two,hatchback,168.7,64,52.6,four,98,112,"$9,538 "
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,"$8,449 "
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,"$9,639 "
,gas,two,hatchback,176.2,65.6,52,four,146,116,"$9,989 "
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,"$11,199 "
toyota,gas,two,hatchback,176.2,65.6,52,four,146,116,"$11,549 "
toyota,gas,two,convertible,176.2,65.6,53,four,146,116,"$17,669 "
toyota,gas,four,sedan,175.6,66.5,54.9,four,122,92,"$8,948 "
toyota,diesel,four,sedan,175.6,66.5,54.9,four,110,73,"$10,698 "
toyota,gas,four,hatchback,175.6,66.5,53.9,four,122,92,"$9,988 "
toyota,gas,four,sedan,175.6,66.5,54.9,four,122,92,"$10,898 "
toyota,gas,four,hatchback,175.6,66.5,53.9,four,122,92,"$11,248 "
toyota,gas,two,hatchback,183.5,67.7,52,six,171,161,"$16,558 "
toyota,gas,two,hatchback,183.5,67.7,52,six,171,161,"$15,998 "
toyota,gas,four,sedan,187.8,66.5,54.1,six,171,156,"$15,690 "
volkswagen,diesel,two,sedan,171.7,65.5,55.7,four,97,52,"$7,775 "
volkswagen,gas,two,sedan,171.7,65.5,55.7,four,109,85,"$7,975 "
volkswagen,diesel,four,sedan,171.7,65.5,55.7,four,97,52,"$7,995 "
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,85,"$8,195 "
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,85,"$8,495 "
volkswagen,diesel,four,sedan,171.7,65.5,55.7,four,97,68,"$9,495 "
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,100,"$9,995 "
volkswagen,gas,two,hatchback,165.7,64,51.4,four,109,90,"$9,980 "
volvo,gas,four,sedan,188.8,67.2,56.2,four,141,114,"$12,940 "
volvo,gas,four,wagon,188.8,67.2,57.5,four,141,114,"$13,415 "
volvo,gas,four,sedan,188.8,67.2,56.2,four,141,114,"$15,985 "
volvo,gas,four,wagon,188.8,67.2,57.5,four,141,114,"$16,515 "
volvo,gas,four,sedan,188.8,67.2,56.2,four,130,162,"$18,420 "
volvo,gas,four,wagon,188.8,67.2,57.5,four,130,162,"$18,950 "
volvo,gas,four,sedan,188.8,68.9,55.5,four,141,114,"$16,845 "
volvo,gas,four,sedan,188.8,68.8,55.5,four,141,160,"$19,045 "
volvo,gas,four,sedan,188.8,68.9,55.5,six,173,134,"$21,485 "
volvo,diesel,four,sedan,188.8,68.9,55.5,six,145,106,"$22,470 "
volvo,gas,four,sedan,188.8,68.9,55.5,four,141,114,"$22,625 "
